Question Speaker,Question Text,Answer Speaker,Answer Text
Gargamuni:,Gargamuni:Swamiji? Didn'tKarṇarequestArjunanot to fight when he was lifting the chariot? Didn'tKarṇarequestArjunanot to kill him?,Prabhupāda,"Yes. Request. ButKṛṣṇasaid, ""No. You kill him. I say.""Arjunasaid, ""That's all right. (laughter) When You order me, 'Fight,' I don't care for any morality or discipline. Your order is 'Fight.' """
Devotee:,Devotee:Can you chant for us loudly? Can you chant from theBhāgavata?,Prabhupāda,"Yes, I'll chant.HareKṛṣṇa. Oh, thank you very much. All should be offered there,Jagannātha. The etiquette is nice. Everything should be offered to the, through the spiritual master. That is the etiquette. No direct. (Prabhupāda chants the second chapter of First Canto.) One chapter. Just play it. [break] ...have the sound only. (Laughs) The explanation... I shall give you little explanation."
Gargamuni:,"Gargamuni:Isn't the sound, though, as good as the explanation?",Prabhupāda,Yes. Hearing is always good.
Gargamuni:,"Gargamuni:Although we don't know what it means, but just the sound.",Prabhupāda,"Yes. Yes. Sound will act. Just like ""Kṛṣṇa,HareKṛṣṇa,"" is acting, similarly."
Gargamuni:,"Gargamuni:What chapter is this, Swamiji?",Prabhupāda,"This is second chapter, First Canto.SūtaGosvāmī, before speaking to the audience, he is offering his respect to the spiritual master. To offer respect to anyone means to remember his qualification. Just like we sing... Just like you offer respect to your spiritual master. What is the meaning?"
Gargamuni:,Gargamuni:Yes.,Prabhupāda,Through.Nārāyaṇaṁnamaskṛtyanaraṁcaiva narottamam[SB1.2.4].Yes.
Gargamuni:,"Gargamuni:Oh, that's his master.",Prabhupāda,"Thank you very much.Naraṁcaiva narottamamdevīṁsarasvatīṁ.Sarasvatī, the goddess of learning. AndVyāsam,and then Vyāsadeva, who is the master of Vedic literature. One after another. This is...Vyāsaṁtatojayaṁudīrayet.Then he is... He was questioned by the audience that what is the most important religion in this age? That was their question. There are many types of religious principles. So what is the best one for this age? So he is replying that question.Munayaḥsādhupṛṣṭo 'haṁ bhavadbhirloka-maṇgalam[SB1.2.5].""You have put very nice question, because you have put the question that 'What is the best religion for the people of this age?' ""Yat-kṛtaḥkṛṣṇa-sampraśno yenātmāsuprasīdati.""And you have, you are very much anxious to understand the activities of LordKṛṣṇa. It is very nice. By this discussion everyone will become actually peaceful and satisfied."" So the answer, ""What is the best religious principle?"" He is answering.Savaipuṁsāṁparo dharmo yato bhaktiradhokṣaje[SB1.2.6].""My dearbrāhmaṇas...""in that meeting all the audience were great learned sages andbrāhmaṇas.So he is addressing them. That is the best form of religion which performing one becomes elevated to devotional service of the Lord. Not religious formalities. One has to test by the result.Phalenaparicīyate.You are Christian, I amHindu, or he is Mohammedan. That's all right. You are very good, I am very good, he is very good. But what is the result of your following religion? Have you attained love of God? Simply I go the church, I go to temple, and I do all kinds of nonsense, I have no love for God, I have love for mymāyāand I go simply..., that is useless. Religious principle means... It doesn't matter whether you areHinduor Christian or Muslim or anything. It doesn't matter. Just seeBhāgavata.Savaipuṁsāṁparo dharmo[SB1.2.6].That sort of religion is nice, best, by which you can develop love of Godhead. It doesn't mention that ""This religion is best, that religion is best."" That religion is best which helps someone, the religionist, to develop love of God, Godhead. If you put to test all kinds of religion in this formula ofŚrīmad-Bhāgavatam,you'll understand which religion is best. You haven't got to ask anybody. Simply by testing how much one has developed love of Godhead. How much one has learned to loveKṛṣṇaor God. If, following any type of religion, if you get this result, then you have performed your religious principle very nicely. This is the answer. And what kind of love?Ahaitukī,without any cause. ""Oh, I love God because I want something from Him."" Generally, as they love God, distress, they want something. ""My dear Lord, I am very unhappy. Please help me."" That is also good. That is not bad. That is accepted inBhagavad-gītā.But that is not pure love. Pure love means there is no reason. ""Why I am lovingKṛṣṇa? Oh, there is no reason. I loveKṛṣṇa. I wantKṛṣṇa."" This is love. Just likeCaitanyaMahāprabhusays... You have got this translation in my first book, that, thatAdvaitahas quoted thatślokain his sermon.(?) ""Whatever you do, You are my Lord. I don't mind whether You put me into distress or You put me into happiness. Or if You don't help me in realizing You. It doesn't matter. Still, I love You. Whether I am going to hell or heaven, it doesn't matter. But I love You."" Just like Cowper said, ""England, with all thy fault, I love you."" This is love. This is material, crude.Ahaitukīapratihatā.Apratihatāmeans that business, ""I loveKṛṣṇa,"" cannot be stopped. ""I could not loveKṛṣṇabecause I was busy in doing this thing or that thing, or because..."" So many reason we can put forward. No. Love ofKṛṣṇacannot be stopped by any material reason. That is love. Nobody can say that ""For this reason I could not loveKṛṣṇa."" There is no reason. There is no impediment for anyone. Any circumstances. So any religious principle which helps a person to loveKṛṣṇaand God, in that way, without any reason, without any impediment... Just like flow of the river. There is no impediment in this world which can stop the flow of the river. Or the waves of the Pacific Ocean. There is no power in the material world which can stop the waves going on, going on, going on. You see? Similarly, that is the best type of religion. Now just see howBhāgavatais liberal in the description of religion. Religion... You are religious, you are very pious man—how it will be tested? How much you have developed love of God. That's all. Without any reason, without any impediment. This is test of best religion.Vāsudeve...(aside:)Gurudāsa, you can hear? Yes."
Gargamuni:,Gargamuni:Thank you for chantingŚrīmad-Bhāgavatam.,Prabhupāda,Śrīmad-bhāgavatamamalaṁpurāṇam.You have gotŚrīmad-Bhāgavatam.Read very carefully. All these things are already explained there. Cut it into pieces and distribute.
Devotee:,Devotee:Swamiji? Should we read just one chapter a day or...,Prabhupāda,It is very nice if you read one chapterBhāgavatamdaily. It is very nice. You make it a point to read one chapter daily. That is very nice.
Devotee:,Devotee:No more?,Prabhupāda,"No, if you can do more, that's all right. Just like I ask everybody to chant 16 rounds. But if you can chant 1600 rounds, then who prohibits you? You can do that. But we should make a regulation of our life, that ""So many times I chant. One chapter I shall read. I shall go to the temple at this time."" In this way we must have routine work. Then we'll get practiced automatically. Yes. And Gosvāmīs, the Six Gosvāmīs, they were following routine work. Even they...Sāṅkhyā-pūrvaka-nāma-gāna-natibhiḥ.They were doing regularly counting. Just like you are counting sixteen rounds. Not only chanting in that counting, but they were offering obeisances also by counting, that ""Hundred times I shall offer my obeisances."" You see? This is regular routine. Yes."
