Question Speaker,Question Text,Answer Speaker,Answer Text
Satsvarūpa:,"Satsvarūpa:The classes are at 7. We have some fliers to hand out to you. [break] Swami's there Monday, Wednesday, [break] ...next Monday. So this is a real class with real progress. We're studyingBhagavad-gītāAs It Is.[break] I'm going to go around with a tambourine upside down for a collection. That will help us to keep this program going nicely in this area. Also, very important, the Swami will leave this area as soon as another city gives him something more attractive. Attractive means to preachKṛṣṇaconsciousness. [break]",Prabhupāda,"That you have to test. Now I have given you this one formula. By following anyguruor any principle, if you actually develop your love of God, then it is nice. Otherwise it is useless waste of time. That is the test. But they, so far I know, these yogis, they are themselves God. They say that everyone is God. And who is dog? So I think it is not very congenial. How everyone can be God? Then what is the meaning of God?"
Guest (1):,Guest (1):(inaudible),Prabhupāda,"If everyone is God then what is the meaning of God? You must give definition of God. If you do not, then you do not know what is God. Therefore you are asking..."
Guest (1):,Guest (1):(inaudible),Prabhupāda,"So it is a great science. It is not bogus propaganda. And based onBhagavad-gītāand Vedic literatures. Not that it is imaginary. No. There is...(inaudible), realized persons. There is chance of...(inaudible). So if you are here now, take advantage of this great science. And we are prepared to submit... (many people talking)"
Guest (2) (Indian man):,Guest (2) (Indian man):I want to love everyone.,Prabhupāda,"Then you... That is bogus. You cannot love everybody. If you love God, then you can love everybody. Because God is everything. So just like if you pour water on the root..."
Guest (2):,"Guest (2):If God is everything, then why don't you, not loving one by one? Why...?",Prabhupāda,"Yes. But you... That is... Just like if you love one tree, then you have to pour water on the root. Not that every leaf. If you want to maintain your body, then you have to supply foodstuff in the stomach. Not to your eyes. Not to your ear. When you get a nice cake, you don't put it here. You put it here. Why? That is the process. There are nine holes in your body. Why do you put in this hole?"
Guest (2):,"Guest (2):Yes, but...",Prabhupāda,First of all answer this.
Guest (2):,"Guest (2):Well, I agree with you, but...",Prabhupāda,You have to follow the real process; then you'll get it. That is love.(?)
Guest (2):,Guest (2):You have to go to the root but in the meantime we don't ignore everything else. I mean...,Prabhupāda,If you ignore the root and you take the leaf you simply spoil your time.
Guest (2):,"Guest (2):No, but what I wanted to say is that why can't love of the God and love of matter go and rise up to...?",Prabhupāda,"Yes, if you love God, you love matter and God..."
Guest (2):,"Guest (2):Then you said that the technique, that you decide as to whether you are succeeding is, you'll find out whether a technique is the best or not when your love for God will increase and love for matter will decrease.",Prabhupāda,"No. In relationship with God... What is matter? Matter is another manifestation of God's energy. Just like if you love yourself, your body, then naturally you love your finger, the part of the body. Therefore God is the supreme whole. If you love God, then you can understand that I have to love everybody."
