Question Speaker,Question Text,Answer Speaker,Answer Text
Devotee (1):,Devotee (1):Yes.,Prabhupāda,"Oh. (laughter) Many, many? Without mosquito curtain you cannot sleep."
Devotee (1):,"Devotee (1):No, we can sleep. AtAdvaitaBhavanthere's a fair amount of mosquitos at night, but there's not so many that you can't sleep without a mosquito coil burning.",Prabhupāda,That's all right. [break]
Devotee (2):,"Devotee (2):The rats in Hawaii are not so big as the rats here. They're only about this big, the body.",Prabhupāda,Every house there is rats?
Devotee (2):,"Devotee (2):Not every house, no.",Prabhupāda,At leastAdvaitaBhavanhas got.
Devotee (2):,Devotee (2):We were getting a cow but we joined ISKCON just before we got the cow. We were going to get one for four hundred dollars. It was giving sixteen quarts a day and had a calf.,Prabhupāda,Sixteen quarts?
Devotee (2):,"Devotee (2):A day, yes. There was a small calf also.",Prabhupāda,There must be grazing ground for cows. Then there is no problem.
Devotee (2):,Devotee (2):There was a grazing ground. The lawn must grow.,Prabhupāda,"What is that? Are they cutting? These are not important thing. (end) Vivekananda has influence here in higher class, among the educated class. They talk about Vivekananda and this and that, nonsense. In your country, fortunately, that opposition was not there. There was no influence of Vivekananda class men. Here amongst the educated class there is influence of all these rascals, Vivekananda, Aurobindo, and... That is one defect. But in the mass there is no influence. In the class, educated class. Because educated class means wine, women, meat, and Vivekananda allows this. That is the point. Vivekananda has no distinction of eating. ""Eat any... AllBrahman, allNārāyaṇa. You areNārāyaṇa. Goat isNārāyaṇa. SoNārāyaṇais going in the belly ofNārāyaṇa. What is the wrong? OneNārāyaṇais going, being absorbed by anotherNārāyaṇa."" But he is not agreeable to be eaten by a tiger, another tigerNārāyaṇa."
Haṁsadūta:,Haṁsadūta:They actually say that?,Prabhupāda,Yes.
Haṁsadūta:,"Haṁsadūta:""OneNārāyaṇais being absorbed by another.""",Prabhupāda,"One respectable pleader in Allahabad, I said, ""Why you are eating this?"" We also find that he's a very religious man. So I inquired. He was just like our father; still, I inquired. He said, ""No, what is the wrong there?Nārāyaṇa,Brahman. So oneBrahmanis going into the belly of anotherBrahman,Brahmanbeing absorbed,brahmeti.""So they have got so dangerous theory. But still, we shall not hesitate to kick on their face but because they are making a propaganda, it should be peaceful. But I become very much agitated with this nonsense because I know they are creating havoc.HareKṛṣṇa. Come on. (door closes) So many rascals.HareKṛṣṇaHareKṛṣṇa..."
Haṁsadūta:,"Haṁsadūta:So yesterday we went to that place, that swami with the silver glasses and black beard that always gives his respect to you.",Prabhupāda,Yes.
