Question Speaker,Question Text,Answer Speaker,Answer Text
Mahārāja,ŚrīdharaThree in America.,Prabhupāda,Three in America.
Mahārāja,"ŚrīdharaAnother three, Another...?",Prabhupāda,Another three in Europe.
Mahārāja,ŚrīdharaThree in Europe. Six.,Prabhupāda,One in India.
Mahārāja,"ŚrīdharaIndia, one.",Prabhupāda,Yes. (Aside) (Bengali) Why you are keeping there?
Mahārāja,"ŚrīdharaIndia, one. Seven.",Prabhupāda,"Seven. And Africa, one."
Mahārāja,ŚrīdharaOne.,Prabhupāda,Eight.
Mahārāja,ŚrīdharaThat will be at. (eight),Prabhupāda,"And one, Australia."
Mahārāja,ŚrīdharaAustralia.,Prabhupāda,New Zealand.
Mahārāja,"ŚrīdharaNine, New Zealandektā.(one)",Prabhupāda,And one...
Bhavānanda,Canada.,Prabhupāda,Canada.
Bhavānanda,"Ah, yes, South America.",Prabhupāda,South America. What part?
Bhavānanda,Australia and Southeast Asia also.,Prabhupāda,Argentina.
Devotee:,Devotee:AndJapan.Japan.,Prabhupāda,Japanincludes now...
Devotee:,Devotee:Western United States.,Prabhupāda,Western.
Bhavānanda,Western United States?,Prabhupāda,Yes. Including Hawaii andJapan.Japanelokera...
Mahārāja,Śrīdhara(indistinct),Prabhupāda,"Russiate, there is bigloka.I have got a student there. They are very much strict about religious things. When I went to Moscow..."
Mahārāja,"ŚrīdharaWell, reaction will come.",Prabhupāda,Reaction already come. They do not...
Mahārāja,"ŚrīdharaSure to come... Reaction, reaction.",Prabhupāda,"So they found one of myBhagavad-gītāin the immigration. So immediately he called police. (laughs) Then he, he examined. He allowed, ""All right, it is all right. It is such a rubbish."" But they are not very happy country, as they advertise."
Mahārāja,ŚrīdharaWhat is happiness? God is happiness.,Prabhupāda,"Now, apart from materially, they're poor."
Mahārāja,ŚrīdharaJanma-mṛtyu-jarā-vyādhi-duḥkha...,Prabhupāda,This is...
Mahārāja,Śrīdhara...anudarśanam.So they are poor in intelligence. This is sattvic intelligence.Janma-mṛtyu-jarā-vyādhi-duḥkha-doṣānudarśanam[Bg.13.9].,Prabhupāda,Anudarśanam.
Mahārāja,ŚrīdharaDivide up higher kind of intelligence.,Prabhupāda,The Russian professor...
Mahārāja,ŚrīdharaAnd the scientific fineness that is also in the jurisdiction of matter. But a more subtle and subtler knowledge is possible.,Prabhupāda,"Now we are presenting through two of my scientific students, Doctor of Chemistry, that matter is, the source of matter is spirit. This is our theory. Generally they believe the life, life comes from matter..."
