Question Speaker,Question Text,Answer Speaker,Answer Text
Satsvarūpa:,Satsvarūpa:,Prabhupāda,This is sense.
Bhūrijana:,"Bhūrijana:Prabhupāda, I think my illusion is not yet dispelled.",Prabhupāda,Then unfortunate.
Bhūrijana:,Bhūrijana:Yes.,Prabhupāda,Continue. (laughter) Who can check?
Bhūrijana:,"Bhūrijana:I want to understand in this sense though, exactly how far your instructions are because I know I want to do it, what you say, but I am not exactly...",Prabhupāda,You are old student.
Bhūrijana:,Bhūrijana:Yeah.,Prabhupāda,"If you still cannot understand what is my instruction, then how can I help you? New students may say like that. You are intelligent, educated, old student. If you say... (long, silent pause) Our movement is that beginning of spiritual life is to surrender. If there is no surrendering, then it is no advance.Sarva-dharmānparityajyamāmekaṁśaraṇaṁvraja[Bg.18.66].This is the beginning. If that thing is lacking, there is no beginning even, what to speak of advancement. That is discussed already.Nasiddhiṁsaavāpnotinasukhaṁnaparaṁgatiḥ.This is the beginning of spiritual life. The word is called disciple. Disciple means who accept discipline. If there is no discipline, where is disciple? And ""disciplic succession."" We have used this word. Not that discipline is finished by one man, no. It will continue to go by succession. That is perfect."
Satsvarūpa:,Satsvarūpa:,Prabhupāda,"Naṣṭa,this word is used."
Satsvarūpa:,"Satsvarūpa:""This supreme science was thus received through the chain of disciplic succession and the saintly kings understood it in that way. But in course of time the succession was broken, and therefore the science as it is appears to be lost.""",Prabhupāda,"That's it. As soon as the discipline broken, then everything is lost. Now you can dance like a dog. That will not affect. Nobody can do that unless there is spiritual strength. Now, last night MadhudviṣaMahārājawas singing, and so many men became enthused to dance. So unless there is spiritual strength, it cannot be done. Others cannot ask and dance. No, that is not possible. That is not possible. Unless there is spiritual strength, you cannot enthuse others. So we should have to acquire spiritual strength by following the regulative principle.SanātanaGosvāmī has therefore forbidden.Avaiṣṇava-mukhodgīrṇampūta-hari-kathāmṛtamśravanāmkartavyam:""Those who are not followingVaiṣṇavaprinciples, one should not hear from him."" Why? It isKṛṣṇa-kathā,Kṛṣṇa's. Nowsarpocchiṣṭa-payoyathā:""Milk is very good, but as soon as it is touched by a serpent, it is no more good. It is harmful."" So one must beVaiṣṇava. Unless one isVaiṣṇava, there is injunction, ""Don't hear from him. It will be poisonous."" So one who is not followingVaiṣṇavaprinciple, he cannot speak aboutVaiṣṇavaprinciple. It is harmful. That is forbidden byācāryas,SanātanaGosvāmī. If somebody says, ""What is the harm? He is chantingHareKṛṣṇa..."" He cannot chant. That is a show-bottle chant. That is not effective. But even taking that ""Anyone who is chanting, let me hear,"" no,SanātanaGosvāmī says, ""No, don't hear."" It will be harmful more than... In other words, if you are not following theVaiṣṇavaprinciple, you don't chant. It will not be effective. Did you not see the difference last night? There were many others. They could not join in the dancing. So far gathering men, if you do not gather intelligent men, then what is the use of gathering men?Ekaś candras tamohantinacatārāsahasraśaḥ:""If there is one moon, that is sufficient. What is the use of millions of stars?"" If one is perfectVaiṣṇava, that is sufficient. SoCaitanyaMahāprabhu's movement is... There are so many... Such a big instruction book. It is not that, whimsical. But still, we recommend that ""Go on chanting."" This will help you anywhere. That is also good. It is exactly like that: if you ignite wood for fire, if the wood is dry, the fire takes place immediately, and if it is moist, then it takes time. Only smoke will come. So smoke is not required. The blazing fire required. Then if from the wood, if simply smoke comes you cannot (chuckles) take any work out of it. There is traces of fire. As soon as there is smoke, there is fire, but it is not useful. It is useful for troubling your eyes only. What is smoke? Smoke means also fire. But you require blazing fire, not smoke fire. So blazing fire takes place if the wood is dry, immediately takes place. Otherwise, you go on enjoying the smoke. Be satisfied. ""When there is smoke, there is fire."" But it will not be useful. (chuckling) It will be useful, gradually the wood will dry. It takes long time. Just try to understand this example. You require the flame, not the smoke. But if you are satisfied with the smoke, that is your business. If you simply be satisfied—""The smoke is also fire. Unless there is fire, why the smoke comes?""—that's a good argument, but smoke will not help you. You require the flame. That flame cannot be produced if the wood is wet. Wet means materially contaminated. Is that example all right?"
Satsvarūpa:,"Satsvarūpa:Yes, that's true.",Prabhupāda,"Yes. So pure devotional service is flame. All other things are smoke. You must get the flame. Otherwise, your business will not get done. So naturally we fan when there is smoke, ""Phat,phat,phat."" As soon as flame comes, there is no smoke. So again fan it. Let the flame come. Then everything will be all right. Otherwise be satisfied with the smoke. You are cooking with smoke for three hundred years. (laughter) There is a very humorous story that one man... He was ayogi. So he approached. It is not story, it is fact. Approached one big man that... As people are very inquisitive to see some yogic magic, so the rich man asked theyogi, ""What you have learned about yogic perfection?"" ""No, I can in the severe winter season, I can dip myself in the water up to this and practiceyoga."" ""So, how long can you remain? At night?"" ""Yes. No, I can remain the whole night or as long as you..."" ""All right, if you remain within severe cold, within water, overnight, then I shall give you such and such presentation."" So he agreed, and he did it. And in the morning, when the man came, so he said, ""Oh, you are successful."" Then he did not... Either he had no money or he did not want to give. So he had his one advisor, ""So what shall I do?"" ""No, no sir, you cannot give money."" ""Why?"" ""Now, there was heat."" ""So how there was heat?"" You know, in India they giveākāśa-pradīpa?During Kārttika month they... This is ourVaiṣṇavaprinciple, I think. The lamp is there on the head of the roof. On the roof there is a bamboo, and in the top of the bamboo there is light. So this man was in the lake. And his advisor said, ""You have seen that the lamp was there, and heat was coming."" (laughing) That lamp was three miles away and still, he advised, ""Yes, there was heat. Therefore he could tolerate."" So what can be said? He is poor man. So there was another servant of that big man. So he appealed to him that ""See, I took so much trouble and he did not pay me anything."" ""So don't worry. I shall see that you are paid."" What is that? Some presentation?"
Paramahaṁsa,"Yes. First of all, I will pay my obeisances.",Prabhupāda,"Then that servant, while he was employed, there was an urgent business. The rich man said that ""Tomorrow I am going. You must come and go with me."" So suppose he was to go at ten o'clock. Then at nine o'clock a messenger came: ""You are ready?"" ""No, just I am cooking. Then I shall finish my cooking, take my meals and then we shall go."" So he was very angrily inquired, ""So why you did not...?"" ""No, I am cooking."" ""Where you are cooking?"" Now, he has three bamboos, and on the top there was a pot, rice pot, and he was giving fire here. So that rich man came and saw. ""What kind of cooking this is?"" ""No, there is heat. It is going on."" (laughter) ""So how you do this, such a nonsense."" ""No, if the temperature from the lamp on the roof of the sky could protect that man, why not it will be cooking?"" Then he could understand this is the reply. So that man was paid. So this kind of progress, cooking, three miles above, a pot, a little fire, it will not act. There must be proper adjustment of cooking. Then you can cook food and eat. A little smoke or little fire and three miles away the cooking pot, in this way, cooking is useless attempt. One must be serious to cook. There is method how to cook. If you don't adopt that method and if you cook in your whimsical way, you will never be able to eat. If you say, ""I shall cook in my way,"" and if you adopt that process, will it help?Nasiddhiṁsaavāpnotinasukhaṁnaparaṁ...So what are these things? [break] ...on the floor. But this instruction was for you, that you are keeping. I never keep myBhāgavataon the floor. I keep always my head. So better you take it. (laughter) I keep myBhāgavataeither on this table or on the head and never on the floor. So that is for you. (laughter) Yes. Then next? (laughter) Yes. It is good, nice."
Paramahaṁsa,This was knitted by a devotee who came from Sydney. A scarf for you to wear in the cold.,Prabhupāda,Hm. That's nice.
