Question Speaker,Question Text,Answer Speaker,Answer Text
Devotee:,Devotee:Nature's law?,Prabhupāda,"Yes, how the nature is working."
Guru,"Guru-kṛpa:It's working,mayādhyakṣeṇaprakṛtiḥsuyatesa-carācaram[Bg.9.10].",Prabhupāda,Yes.
Guru,Guru-kṛpa:Acting under Kṛṣṇa's...,Prabhupāda,"Under Kṛṣṇa's plan. Therefore you cannot violate Kṛṣṇa's law. As soon as you violate nature's law, then you have to be punished. (pause)"
Guru,"Guru-kṛpa:Bhagavad-gītā,thatprakṛteḥkriyamāṇāni...",Prabhupāda,"...guṇaiḥkarmāṇisarvaśaḥ[Bg.3.27].Yes, andprakṛtiis working under the direction ofKṛṣṇa. That means, nature's law means Kṛṣṇa's law or Kṛṣṇa's plan. So what is the Kṛṣṇa's plan? WhatKṛṣṇawants?"
Guru,"Guru-kṛpa:Kṛṣṇawants every living entity to come back to home, back to Godhead.",Prabhupāda,"Thank you. This is the plan. If this plan is not executed, then there is suffering. So this human life is given to the living entity for understanding this plan and do the needful. If they do not understand, then they are punished. [break]"
Guru,"Guru-kṛpa:...today is that because the people have never been given any information what Kṛṣṇa's plan is, either they're too old or too... They're attached. They can't understand anything. That's the majority of the people. Once they get past thirty years old, it's very difficult for them to accept something.",Prabhupāda,"No, that is not. Thirty, forty, fifty or one year, that doesn't matter. One can understand if he wants to understand.Ahaitukyapratihatā.It is not limited by any age. Otherwise howPrahlādaMahārājawas great devotee,DhruvaMahārājawas great devotee?"
Yaśodānandana:,"Yaśodānandana:I think he just wants to mention that it is more difficult for people who are elderly to understand, those who are more set up in their ways.",Prabhupāda,"Yes, yes. That is the difficulty. They are trained up in such a way that it's very difficult to forget what they have learned. ThereforePrahlādaMahārājasays,kaumāraacaretpraj&#241aḥ,from the very beginning of life one should learn this art of understandingKṛṣṇaand Kṛṣṇa's plan."
Devotee (1):,"Devotee (1):Śrīla Prabhupāda, usually onsaṅkīrtanaI avoid old people because they just don't understand, and it's very difficult to approach them.",Prabhupāda,"Yes, yes, yes. Old people should be instructed to forget what they have learned.Hesādhavaḥsakalamevavihāyadūrādcaitanya-candra-caraṇekurutānurāgam.This is the formula of preaching. PrabodhānandaSarasvatī, he is begging to the people,dāntenidhāyatṛṇakaṁ padayornipatyakāku-śataṁkṛtvācāhambravīmi:""Taking a straw in my mouth, with folded hands and flattering you hundred times, I am submitting one request."" ""What is that?"" This is the process of approaching these rascals, old fools who have learned something and does not like to forget. So he says,hesādhavaḥ:""Oh, you are such a nice learned scholar-devotee, so my request is that whatever you have learned, please forget.""Sakalamevavihāyadūrāt:""Kick them out."" ""Then? What shall I do?""Caitanya-candra-caraṇekurutānurāgam:""Please turn your attention to the teachings of LordCaitanya.""Hesādhavaḥsakalamevavihāya:""You are very great personality. So my request to you: you forget or kick out whatever you have learned."" That is the first business."
Guru,Guru-kṛpa:It is a very humble approach.,Prabhupāda,"Yes. Humble approach for giving a slap, (chuckles) that ""You forget everything, what you have learned."" First of all, this is the first condition.Hesādhavaḥsakalamevavihāyadūrādcaitanya-candra-caraṇekurutānurāgam.We can go this way. This is our business. We know they are all rascals, but they are thinking that ""We know so many things. We are learned scholars."" So humbly approach them and flatter him that ""You are so nice man, such a learned scholar."" Just like a child is flattered, ""My dear boy, you are such a nice boy. You take these lozenges and return me the hundred dollar note. Don't spoil it. You are such a good boy, yes."" This is our... Therefore to approach these rascals we have to learntṛṇādapisunīcenatarorapisahiṣṇunā.That is the preaching method. Everyone is puffed up. Even most insignificant man, he is also puffed up: ""Oh, I am so rich man, I know everything. I have got so much bank balance. These poor fellows, they cannot earn livelihood; therefore they have become Vaiṣṇavas."" This is their policy. [break] You immediately print 100,000, that""Scientific Basis."""
Rāmeśvara,Immediately reprint.,Prabhupāda,Yes.
