Question Speaker,Question Text,Answer Speaker,Answer Text
Brahmānanda,Infected to?,Prabhupāda,"Syphilis, yes. So in India the syphilis is very horrible disease. So he exclaimed, ""Oh, it is horrible."" The doctor, that Colonel Maylow(?), he was astonished: ""Why you say it is horrible? In your country they suffer, 90%, from malaria. That's not horrible?"" So the example is that when you are suffering for a doctor, either you are suffering from malaria or from syphilis, we are suffering from disease. Why you say ""This disease is horrible than that disease""? Actually this is the fact. Why should you discriminate? So he chastised him that ""As a medical man, you cannot say this disease is more dangerous than that. Every disease is dangerous."" Actually you should take that. Suffering, three kinds of suffering—adhyātmika, adhibhautika...The suffering is there. If you sayadhyātmikasuffering is better thanadhibhautikasuffering, that is foolishness.Atyantika-duḥkha-nivṛttiḥ.Spiritual life means to end all kinds of suffering. That is spiritual life. Not that I get free myself from this kind of suffering and I accept that kind of suffering. This is not good conclusion.Atyantika-duḥkha. Duḥkhālayamaśāśvatam[Bg.8.15].This place isduḥkhālayam,full of miseries. AndKṛṣṇais canvassing, ""Why you are suffering? Come to Me."" This mercantile community, they are earning money for mitigating suffering, but for earning money they are accepting any means. In future he is creating field of another suffering. That he does not know. He thinks, ""Now, if I get money somehow or other, my present sufferings will be mitigated."" But he does not know that he is creating another field of suffering."
Brahmānanda,In the next life.,Prabhupāda,"Next life or this life. Suppose you are earning money in the black market. As soon as you will be arrested, you will be pun... Just like so many people are put into jail. Why they are put into jail? They have done something, big, big leaders."
Brahmānanda,In the past. They have done something in the past and now they are suffering.,Prabhupāda,"""In the past"" means in this life. So as soon as you do something wrong, you must suffer, either by government's laws or by nature's law."
Brahmānanda,"They're thinking that ""If I earn much money now, then later on in my life, everything will be very comfortable.""",Prabhupāda,"That's all right, but this is the fact. If you earn money by black market and if you are arrested, then your all comfort will be finished."
Aksayananda:,Aksayananda:In theKṛṣṇabook there is one king...,Prabhupāda,Yes.
Aksayananda:,"Aksayananda:He says, ""I worked so hard for enjoyment, but I have no time to enjoy.""",Prabhupāda,"(chuckles) This is going on. They do not understand that this world is meant for suffering. We have discussed little in that topic with Śyāmasundara. Just like they invented the communistic idea. Does it mean the communists are not suffering? They are suffering more. They have no liberty. They have lost their liberty, the whole people. They are so much pressed by the government that there is no liberty at all. The younger generation, they cannot go out, so much suffering. I may live even in a big house, but if you say, ""You cannot go out. Then you'll be punished,"" that idea will be suffering—""Oh, I cannot go out."""
Brahmānanda,"We have one devotee. He escaped from Communist Hungary, and he was telling me all the story, how on the borders how much they keep the people from trying to escape. Even in Berlin, in Germany...",Prabhupāda,They shoot.
Brahmānanda,"They have a system, automatic shooting, that if you cross a certain line, they have these rays of light, and if you break the ray of light, then automatically all machine guns start firing in the whole area. It's all done...",Prabhupāda,This is their scientific advancement.
Brahmānanda,They've made such a nice place that they're afraid the people will escape from it.,Prabhupāda,"And they are thinking, ""This system is for happiness."""
Brahmānanda,"If it's for happiness, then why prevent people from leaving?",Prabhupāda,"""Why?""—that you are asking. They think it is happiness. That is calledmāyā.It is not happiness; still, if somebody is thinking happiness, that is calledmāyā."
Dhanañjaya,"But even if they cross the line successfully, they'll only suffer misery on the other side too.",Prabhupāda,Hm?
Dhanañjaya,They'll only suffer another kind of misery.,Prabhupāda,Hm. Yes.
Brahmānanda,"Some boys, they escaped from one country, I think Rumania. And they came to our temple. They had heard about our movement, so they came to our temple. They stayed for a little while, but then they were wanting to leave. So they left, and immediately they were apprehended by the authorities in... I think it was in Sweden. And now they are put into camps, they cannot leave, they have to be processed, and practically they are again in jail. They have no freedom. They cannot get a job. They have no passport. It will take them years to get all the papers in order. They have to be investigated to see that they are not spies. So again they are still in the miserable condition.",Prabhupāda,"So miserable condition... That is our conclusion, that either you remain this side or that side, it is miserable. By mental concoction you think that ""This is better than that."" ThereforeKṛṣṇasays frankly,sarva-dharmānparityajya[Bg.18.66].That is only shelter.Māmupetyakaunteyaduḥkhālayamaśāśvatamnāpnuvanti[Bg.8.15].[break] ...take Kṛṣṇa's words as it is. Everything is there. He said, ""This material world isduḥkhālayam;it is the place of suffering."" Industrialist, businessman, anyone, even ordinary man, actually everyone is suffering, but everyone is thinking, ""I am happy."" [break]"
Brahmānanda,"...because there is some sex pleasure, that makes it tolerable.",Prabhupāda,"Yes, that is the, what is called, topmost ignorance, topmost ignorance, that ""This is happiness."" So the materialistic person means only for that happiness they are suffering so much, this way. They agree, ""Yes."" Just like Dr., er, BonMahārājawas speaking that they are talking freely?"
Brahmānanda,"Oh, about homosexuality.",Prabhupāda,"""Oh, yes. What is the wrong? It is pleasure."" They take it as pleasure."
Brahmānanda,"The priests. They're in the theological seminary, and they are priests, and they are saying that ""It is pleasurable, so why not do it?""",Prabhupāda,"And what is the pleasure? Stool-passing and urine-passing points are joined together, and it is pleasure. Just see their standard of pleasure. Just like the pigs. With pleasure, they eat stool. So they think it is pleasure. Standard of pleasure has gone down so low. This isKali-yuga. [break] ...advanced. He has disciple,guru, but he knows that he is suffering whole life for this institution. Still he'll not give it up."
Brahmānanda,He still has hope against hope.,Prabhupāda,"Yes. He thinks that ""I shall die peacefully if I expand the laboratory house, that I have given something toVṛndāvana."" Did he not say like that?"
Brahmānanda,Yes.,Prabhupāda,As ifCaitanyaMahāprabhuasked him to give this institution toVṛndāvana. Such a foolish person.
Brahmānanda,"Yet he also admits that any boys who have intelligence, who are good students, they will go toMathurāandAgraand other places for education. Here only the village boys come.",Prabhupāda,(to passerby:)HareKṛṣṇa.Jaya.
Brahmānanda,Therefore he has very few students. He has very few students.,Prabhupāda,Yes. [break]
Brahmānanda,Now he is wearingkuntībeads.,Prabhupāda,Oh. Because he was criticized by our students in U.S.A. (sound of bell) See? The bell is ringing nice. There was no such ringing in this quarter. [break] ...fixed up so that thieves may not take it away? Not so securely.
Dhanañjaya,"Well, they have... I'll make sure it is done today.",Prabhupāda,"Oh. When I say? That means no brain. I am asking without seeing, and you are seeing for the last one week. You do not know it, that what is secure, what is not secure. That is the defect. Here thieves are very expert."
Dhanañjaya,"But thechokidaris there at the front, guarding all night, and the bell is situated very high inside the dome.",Prabhupāda,Still should be secure. [break] ...that in the temple these bells are stolen even it is secure. Therefore we shall be very careful.
Dhanañjaya,"But there are always devotees, twenty-four hours.",Prabhupāda,"(to passerby:)Jaya.HareKṛṣṇa. But our devotees, the first-class devotee, (chuckles) he is not very intelligent. He does not know what is secure, what is not secure. [break] ...character that we are not very much concerned, but we have to live in a world which is very, very cunning. It is not yet half past six.HareKṛṣṇa. (end) As soon as you make ""Hindu religion,"" ""Muslim religion,"" ""Christian religion,"" immediately it is not religion, immediately. BecauseKṛṣṇasays,sarva-dharmānparityajya[Bg.18.66].Why does He say,sarva-dharmānparityajya?(Aside:)HareKṛṣṇa.Jaya.Because that is not religion. The so-called religions which are going on, they are not religion. That we do not say at the present moment because you are not so strong. But we have to say that. There is no religion. All cheating. WhyKṛṣṇasays,sarva-dharmānparityajya[Bg.18.66]?Why?"
Akṣayānanda:,Akṣayānanda:Because there is no other religion.,Prabhupāda,Yes. There is no religion.
