Question Speaker,Question Text,Answer Speaker,Answer Text
Hṛdayānanda,"Atomic... That everything is constituted of different atoms, and the ultimate truth is the atomic particle, and by different combinations of these particles, different material manifestations are produced, and there's no other cause except this endless combining of atomic particles.",Prabhupāda,Wherefrom the atom comes?
Hṛdayānanda,The atom is the eternal fact. It is inconceivable or it's unexplainable where it has come from.,Prabhupāda,Then what is the use of your explaining? Then you prove yourself you are a rascal. Inexplicable? Why you are trying to explain?
Guru,"Guru-kṛpā:""We're not explaining. We're just accepting it's a fact.""",Prabhupāda,"So everything is fact. But the real knowledge is to find out the source of the fact. That is real knowledge. Just like if we ask any gentleman—at least in India—for your identification, your father's name is required, your name of the village is required. If you go to the court, then such and such; father's name, such and such; village, this; religion, this; like this.... So father.... Why father's name? ""What is the source of your existence? Wherefrom you are coming?"" ""I am coming from this family."" So that is knowledge. Atom.... Atomic theory is there in Vedic conception,paramāṇuvāda.Kaṇada, the great sage, Kaṇada, he gave this theory, Kaṇada.Paramāṇuvāda. Paramāṇuvād. Paramāṇuvādais accepted in Vedic philosophy also. But we know what is thisparamāṇualso. Just like the sunshine. What is the sunshine? A combination of shining atoms. But we can see it is coming from the sun, incessantly coming. We can see. We can, immediately say, ""This is.... The source is the sun."" Similarly, theparamanu,the atoms, they are incessantly coming out. But wherefrom it is coming?"
Guru,Guru-kṛpā:Does that mean that the atom is living entity?,Prabhupāda,"Eh? No. Living entity is also atom. One class of atom is matter, and one class of atom is the living entity. That is explained in theBhagavad-gītā.... Bhūmir āpo 'nalovāyuḥkhaṁmanobuddhirevaca[Bg.7.4].These are... This material, matter, everything is combination of atom, atomic particles. Either you take earth or take water or air or fire, everything is combination of atom. That's a fact. But we know that these atoms are coming out as the energy ofKṛṣṇa.Bhinnā.Bhinnāmeans the quality different; not of the same quality.Apareyam:""This is inferior quality, but there is another, superior quality,jīvabhuta,and that is living entity."" So two kinds of atoms are coming fromKṛṣṇa. One is the spiritual atom, and the other is the material atom. So spiritual atoms, they are many, many times greater than the material atoms. And these material atoms is this universal, innumerable universes. Some of the spiritual atoms, when they want to enjoy independently, they are given the chance of enjoying this material atom. So in the material world it is combination of material and spiritual atoms. In the spiritual world, there is no material atom; everything spirit. That is three-fourth energy, and this is one fourth.Paramāṇu-cayāntara-stham.[break]"
Guru,"Guru-kṛpā:If we say thatKṛṣṇaenters even within the atom, what is His business there?",Prabhupāda,Business is to guide the rascals like you. (laughter) Do you follow or not?
Guru,"Guru-kṛpā:Well, the material atoms...",Prabhupāda,"BecauseKṛṣṇaloves you so much that even you accept this material atom, He goes to help you. Therefore He is within. Becausesarvasyacāhaṁhṛdisanniviṣṭhaḥ[Bg.15.15].The living entity has a..., enjoying this material world. So he has got everything. He's a person. He has got his heart. So in the heart there isKṛṣṇa.Sarvasyacāhaṁhṛdisanniviṣṭho.You readBhagavad-gītā.Why? Why He has...,sarvasyacāhāmhṛdisanniviṣṭho? Hmm? Who will say? Why He has...? Your question is ""Why?"""
Hṛdayānanda,Mattaḥsmṛtir...,Prabhupāda,"Ah!Mattaḥsmṛtirjñānam.He's always trying: ""You rascal, why you are suffering in this way? Come back home."" This is the answer. He's so kind. That is His kindness.Sarvasyacāhāmhṛdisanniviṣṭhomattaḥsmṛtirjñānamapohanaṁca[Bg.15.15].We are talking of this philosophy, ""How?""Kṛṣṇais giving intelligence. Otherwise, how it is possible? The same thing, as we are preachingKṛṣṇaconsciousness by the dictation ofKṛṣṇa—Kṛṣṇa is asking,sarva-dharmānparityajamāmekaṁśaraṇa—so in the atom also He's doing the same business.Aṇḍāntara-sthaṁparamāṇu-cayāntara-stham.Now your question is answered or not? Eh?"
Guru,Guru-kṛpā:Yes.,Prabhupāda,"WhyKṛṣṇais within the atom? That is answered or not? Wherever there is the living entity,Kṛṣṇais there as friend.Su-parna, sayujā.So, from theśāstrait is understood, as many material atoms are there, so many spiritual atoms are there. Now you can imagine how many living entities are there. (sic:) Physists, they have not been able to find out the spiritual atom. Therefore they are puzzled, and their scientific research is incomplete. But theBhagavad-gītāgives them information, ""You rascal, this is inferior. These material atoms are inferior.""Apareyam.They'll not take it.Apareyam itastu:""Besides this, there is another energy, spiritual energy."" ""What is that spiritual energy? We do find."" ""You don't find? Why don't you seejīva-bhūta,these living entities?"" But they are rascals. They will not see. They cannot understand what is this living entity, andKṛṣṇais saying, ""Here is another atom.Apareyam itastumeviddhiprakṛtiṁparā."" But the rascal will not take it. This is their rascaldom.Kṛṣṇais giving them information, and still, they'll not take it. This is their dog obstinacy. Solution is there. They won't have to make very difficult research work. Here is information. But they'll not take it. The atoms which you are studying, that is all right. That is material,apara,inferior. But there is another atom. And if you say, ""What is that atom? We do not find,"" ""Don't you find this living entity?"" And still, they are... They say the problems are solved. Just see how foolish they are. He's seeing the living entity, andKṛṣṇais pointing out: ""Here is the superior atom,"" and still they say, ""We do not know."" What to do with them? Eh? They cannot find out by their own research, and the information is there byKṛṣṇa, and still they'll not take it. So, what is to do with them?"
Dayānanda:,"Dayānanda:We can show that they are fools by presenting your literatures, Śrīla Prabhupāda.",Prabhupāda,Eh?
Dayānanda:,Dayānanda:We can show that they are actually fools by...,Prabhupāda,"No, no..."
