Question Speaker,Question Text,Answer Speaker,Answer Text
Interviewer:,"Interviewer:Your Grace, what is the basis of your teachings?",Prabhupāda,"The basis of this teaching isBhagavad-gītāAs It Is.I have already published my book, thisBhagavad-gītāAs It Is.This book is not new. It is very old book, at least five thousand years old, and it is very widely read all over the world. In your country I have seen there are about more than twenty-five different editions, English. Similarly, there is in German language, in England, inJapan. Everywhere, all over the country this book is very widely known,Bhagavad-gītā.In other words, this isKṛṣṇaconsciousness. The speaker of this book is LordKṛṣṇa, and the subject matter of this book is what is our relationship with God. Then, after understanding what is our relationship with God, we can work accordingly. Just like you are citizen of America, you have got a particular relationship with the state, and you are expected to work according to that relationship, and then you are good citizen, you are law-abiding citizen, and state gives your all protection, and you can improve to the highest perfectional stage. Similarly, if we know our relationship with God, whom we callKṛṣṇa...Kṛṣṇameans all-attractive, and that is the perfect name of God. Unless God is all-attractive, he cannot be God. God cannot be Hindus' God or Christians' God or Jews' God or Mohammedans' God. No. God is for everyone, and He is all-attractive. He is fully opulent. He is fully in knowledge, perfect in knowledge, perfect in beauty, perfect in renunciation, perfect in fame, perfect in strength. In this way He is all attractive. So we must know our relationship with God. That is the first subject matter of this book,Bhagavad-gītāAs It Is.Then if we understand our relationship, we can act accordingly. At the present moment we are, some of us declining God. ""There is no God."" Some of them have little conception of God, ""God is great,"" but they do not try to understand what is actual relationship with God. They are not very serious. In this way, practically we are avoiding our eternal relationship with God, and therefore we cannot act properly, and that is the cause of all miseries. That is the cause of all problems. Just like if you do not know the state laws, then you do not act properly. You are always criminal. For example, if you do not know how to drive, ""keep to the right,"" if you drive to the left, you may think, ""Oh, it is after all driving. What does it matter, right or left?"" But no. As soon as you drive left, you become criminal. Similarly, because we do not know our relationship with God, therefore we are acting wrongly, and therefore, under the laws of God, we are becoming more and more criminal and our problems are increasing. Therefore, in spite of advancement of education, science, civilization, a nice dress, car, and everything, nobody trusts nobody. You see? Everywhere you go, a gentleman's house, oh, ""Beware of the dog,"" ""No trespasser allowed."" Always suspicious. An individual person is suspicious of another individual person. A nation is suspicious of another nation. A community is suspicious of another community. So how can you have peace and prosperity? Suspiciousness means animal, animalistic. A dog is suspicious of another dog. As soon as it finds another dog, immediately begins to bark."" Row! Row! Row!"" So is that human civilization? So what is the mistake of the human civilization? The mistake of the human civilization is that they have forgotten the relationship with God. So here is the scientific statement of our relationship with God. And then, according to that relationship, exactly in the same way, just like understanding your relationship, your citizenship in a state you can act nicely, similarly if we know our relationship with God, we can act very nicely and that is peaceful life. And besides that, this life, the present life is not all. We have got life after death. That is a fact. Just like we are continuously in life, in this present life, you were a child, I was a child. Everyone of us were a child. That was a life. Then we became boy, then we became youth. Now we are, I am becoming old, and generally, when this body will be useless, I will have to take another body. This is the way. Unfortunately, the people, they do not believe in the next life. Although in every day affair they are experiencing that ""I am eternal. I can remember the days of my childhood. I can remember the days of my youthhood, my boyhood, and I am still working. That means I am continuously there although my body in different ways have changed."" So it is a fact that even after changing this body, you will have another body. Just like you are sitting in this room. Now, if you vacate this room, that does not mean you are finished. You have gone in some other room. So this is a great science. And people are neglecting this science. They have no, I mean to say, information. There are so many departments in universities, technological, medical, engineering, but where is the department to know or understand what is this life, what is God, what is our relationship? So this is not very good civilization. So there is life after this life. Just like progressive life, a child is progressing to youthhood, the youth is aspiring to become a big man, important man. As in this life there is progressive life, similarly, life after life, there is also progress. There are different grades of life. So we get information from authoritative books that there are 8,400,000's of different grades of life, and there are 900,000's of aquatic life, two million species of plants and trees, about eleven hundred thousand species of life of birds, three million types of species of beast, and 400,000 species of this human body. Out of that 400,000's, different kinds of human bodies, the civilized body is a great boon. At that time we can make further progress. Either we can transfer to other planets... The standard of living, comforts, are many, many thousands times better than this planet. But in this book,Bhagavad-gītāAs It Is,we get information that within this material universe, wherever you go, either you remain in this planet or you go to the moon planet or to the sun planet, or there are millions and trillions of planets... The highest planetary system is called Brahmaloka. There the duration of life is very, very great. You cannot calculate even twelve hours of their days. These are described in this book,Bhagavad-gītāAs It Is.Sahasra-yuga-paryantam arhadyadbrahmaṇoviduḥ[Bg.8.17].Four hundred... Three thousand years is the duration... Four hundred and, yes, four hundred and three thousands of years, solar years, is the one unit ofyuga.Such thousandyugasmakes twelve hours of the Brahmaloka planet. Similarly, they live there for a hundred years. But these four things, namely birth, death, old age, and disease, these four things are everywhere, either you live in this planet or moon planet or sun planet or any other planet. The duration of life may be very, very great. Just like in comparison to the ant, our life, human being—we have got hundred years age—so to the ant it may be very astonishing: ""Oh, how such a great length of time one can live?"" Similarly, we may be astonished by hearing twelve hours duration of Brahmaloka, but actually there is. But still, you cannot avoid death. Death is there. So from this book we understand from the version ofKṛṣṇa, or God, thatā-brahmabhuvanāllokāḥpunarāvartino 'rjuna[Bg.8.16].Even if you go to the highest planetary system, again you have to come back. In this way, all living entities are rotating from one planet to another, from one species of life to another. But we don't want this actually. If I say that ""If I give you a nice body, youthful body, and eternal body, full of knowledge,"" would you not like to have it? Nobody likes old age, nobody likes death, nobody likes to die, nobody likes to take birth again, enter into the womb of mother and live there ten months. You are tight packed."
Interviewer:,Interviewer:Let's pause here and let the tape just advance a little bit. That would make a good segment. [break],Prabhupāda,"...consciousness, the next question. Now, this is the basic principle ofKṛṣṇaconsciousness. So for attainingKṛṣṇaconsciousness, there are several stages. The first stage is faith or inquisitiveness. Just like you have come to me. This is the first stage, out of inquisitiveness or some faith, that ""These people are teachingKṛṣṇaconsciousness. We have heard it is very nice. Let us see what it is."" This is the first stage. This is the first stage. One should be inquisitive and have little faith or little respect forKṛṣṇaconsciousness. ""It is very nice, they are speaking, doing nice work."" This is the first stage. The second stage is that in the first stage, if you find it, it is interesting, then the second stage is to associate with us, to understand more. Just like we are having our classes three days in a week. We are having class morning daily, but for public we are holding classes in the evening from seven to nine in our temple. Perhaps you know. You have been yesterday there? So we are holding classes there and discussing on this book, havingkīrtana,distribution ofprasādam.So it is very nice. There is no labor. Simply you come, you hear nice songs, you dance, you take nice food, you hear nice philosophy, and you think over, and you may go home. We don't ask anybody that ""You press your nose like this, you make your head down like this, make exercise like this."" We don't ask anybody. But people automatically like to dance with us. Although dance is labor, but they like it. So the next stage is to associate with us, to understand more and more. This is the second stage, to associate. First stage, faith and respect, and second stage, association. The third stage, if by association one becomes serious, that ""I shall become a regular student of Swamiji,"" that is third stage. That is called initiation. Just like these boys. They are initiated. So in that stage they are guided by me. They follow strictly. Just like we have got for the initiated students we have got six, four principles. We do now allow illicit sex life. No, we do not allow these boys or girls sex life without being married. Yes. This is one regulation. We don't allow them to take anything which is not offered to the Deity. So we offer to the Deity foodstuff, grains, fruits, flowers, milk products, in that way, no meat, no egg, nothing of the sort. Simple food. They are nutritious. We prepare very... Perhaps you have participated in our love feast in Sundays. Yes."
Woman:,Woman:We're going to... We'll come next Sunday.,Prabhupāda,"They like it. So many, hundreds of preparations... We can give at least three hundred preparation, many varieties, simply on grains and milk product and fruits. That's all. We don't kill animals, don't kill birds, no. But we make very nice preparations. Everyone likes. So this is one of the restriction, that you cannot take anything which is not offered toKṛṣṇa,Kṛṣṇaconscious. This is the second restriction. And the third restriction is no intoxication—no smoking, no drinking, even no tea taking, no coffee taking, nothing: These American boys they are accustomed to all these habits very naturally, but they have given up. They don't take. In our temple there is no tea-taking, no coffee-taking, no cigarette smoking, nothing of the sort, you see. This is the third restriction. And the fourth restriction is that you cannot take part in gambling or some unnecessary sporting because you have to utilize your time. Your time is very short. If you miss this opportunity of human form of life... Because we do not know when death is coming. It is not that because I am old, I am nearing death, and you are young, you are not nearing death. Who knows that you may die before me? So there is no certainty. So the principle is that because this human form of life is so important to perfect oneself inKṛṣṇaconsciousness, he should not waste even a minute. You see? So therefore we don't allow unnecessary sporting. You see? This is simply waste of time. So no illicit sex life, no meat-eating or animal food, no intoxication, no gambling. So every student has to follow these four prin... Otherwise I don't initiate. I don't take cheap students, that ""You can do whatever you like, and you pay me some money. I give you somemantra,and you become God."" I don't say like that. I don't bluff like that. I have not come to earn money from your country, but I have come to your country to give you something sublime, not to take you, not to take from you, not to exploit you, but to give you something sublime. You see? So that is the third stage, initiation. And then, if you are situated in the third stage nicely—that means if you follow the regulative principles under my direction—then the fourth stage automatically comes. After this third stage, the fourth, fifth, sixth, seventh, up to eighth, automatically comes. That is gradual development. So in the third stage, if you follow the regulative principle and chant with some prescribed number, numerical strength, then your all misgivings will be over automatically. What are these misgivings? The first misgiving is that I am this body. Everyone is under the concept of this body. This is... I am not this body. That is a fact. But body is changing. There are many examples. One of the example is a very common example. Suppose a man is dead. Now everybody is crying, and if we ask ""Why you are crying?"" ""Oh, my son is dead."" I can say, ""Your son is lying here. Why you are saying that he is dead?"" ""No, no. He is dead. He is gone. His body is lying."" Therefore he is different from the body. Immediately you can understand. You say, ""No, he is gone. His body is lying."" Don't you say at that time? So you understand at the time of death that the man was different from the body. But during this lifetime, I was taking care of his body only. Why did I take care of he? Because I did not know him. You see? This is a misgiving. In this way there are so many misgivings. We are situated in a platform of misgivings only, misunderstanding, our present conditional life. Just like if my body, this body, I am different from this body, then how can I claim that America is my country? This is also another misgiving. If I do not belong to this body... I call myself an American or Indian... (coughs) (aside:) Water. Because accidentally this body is born on the land of America, therefore I call myself American, but if I am not this body, then how I am American? This is another misgiving. Yes. Then I am calling you as my son. You are calling him as your son, but what he is? He is a product of your body. So if you are not this body, how he is your son? In this way you go on. As soon as you study nicely that you are not this body, you will find that you belong to none of these. You are free. You see? This is calledBrahmanrealization, spiritual realization, this stage, when you understand that ""I am not this body. I do not belong to this country. I do not belong to this family. I do not belong to this society."" This is negative. Some philosophers are trying to make these things void. But actually I am existing. I am existing in misunderstanding. But that does not mean I am not existing. I am not void. Just like I am existing within this apartment. But instead of knowing myself, I have identified this apartment: ""myself."" So to simply to understand that ""I am not this apartment"" is not perfect knowledge. Then what is my position? What I am actually? When we come to that consciousness... At the present moment, I am conscious of this body, of this country, of this society, of the family. But when I perfectly understand that I am not any of these things, then my consciousness also changes because at the present moment my consciousness is absorbed with all these things. So as soon as I understand that I am not all these, then my consciousness must change, not that my consciousness will stop. If I am in misunderstanding, if I come to the right understanding, that does not mean my understanding is stopped. Rather, my understanding becomes purified. That means if I am not this, then I am this. That we do not know, what is that. That isKṛṣṇaconsciousness. So when we are freed from this illusory consciousness and if we are situated inKṛṣṇaconsciousness, then we get attachment. Because we are attached to all these things, attached to this body, attached to this society, attached to the country, so many things in relationship with the body. Now, after negativating my identity with this false identification, when I come to the right point, then I understand that I am Kṛṣṇa's. I am Kṛṣṇa's. Then your attachment forKṛṣṇaincreases because you transfer the attachment. Just like a child. A child is attached to play. But when he grows up, his attachment is transferred to study. That does not mean he gives up the attachment for playing, that attachment is lost. No. Attachment must be there, but that is transferred or purified. SoKṛṣṇaconsciousness means purified consciousness, real consciousness. And the next stage, after being freed from misgivings—attachment for the real identity,ruci.Thenāsakti,greater attachment. Then an ecstasy. That means I am coming nearer to God. Because I am God's... In the beginning I told you that we have forgotten our relationship with God. So when we are out of misgivings, we come to the platform of increasing attachment for God. So this attachment, when it is perfectional stage, it is called love of God. Love is here also. Instead of loving God, we are now loving dog. Love is there, but when you are out of misgivings, you transfer your love from dog to God. These are the different stages to come to the... How do you attainKṛṣṇaconsciousness? These are the stages. So if we follow cautiously and sentiently these six stages of development, you come toKṛṣṇaconsciousness automatically. [break] ...study. This meditation and breathing exercise is not part of our study. Because we are following a method which is direct method. I will give you the example. Just like there is a skyscraper house, and there are staircases to go to the top floor, say, hundredth floor, and there is elevator also. So if you take advantage of the elevator, you reach immediately hundred floor within a minute, but if you go step by step, step by step, it will take hours. So this meditation process is not possible at the present age. This meditation was recommended, according to Vedic literature, in the golden age, when the duration of life was very, very long, people were peaceful, there was no disturbance. The exact version in theVedasisic>kṛte.Kṛtemeans in the golden age, when everyone is pious. That is calledkṛta-yuga,age ofkṛta,very pious age. So in those ages people used to live one hundred thousands of years, and they were very pure, there was no sinful activity. In that stage, meditation was possible. Meditation requires certain principles. You have to select a solitary, sacred place. You have to sit alone. You have to close your eyes half, not full. If you close your eyes full, then you will sleep. And you have to concentrate on the tip of your nose, and you have to sit straight under posture, and then you have to exercise the breathing. If your inhalation is going this side, then you have to breathe this side. There are so many processes. So these things are not possible. Because our mind is so disturbed, we are engaged in so many outside work, it is not possible to concentrate on... You cannot find out a solitary place. The so-called meditation going on in a class. That is not meditation. Meditation cannot be performed in that way. It must be very solitary place, sacred place, and you have to do it alone. You see? So these facilities are not available at the present age. Besides that, that meditation process will take you a very long time to realize yourself. So meditation is there in our process, but it is a very quick process. What is that? We loudly chantHareKṛṣṇa. So even if your mind is diverted to some other subject, you will be forced to hearHareKṛṣṇa. You have to apply your mind. You see? Either you take it, ""Oh, somebody is disturbing,"" or you are enjoying, you have to, you are forced to turn your mind to this side. And if we go on chanting for a short time, the meditation is always there. And with the dancing, the breathing is also there, but it is a shortcut policy. That policy, the yogic meditation or breathing exercise,samādhi,it is already there in our process. But we don't take in that prescribed way of meditation because that is not possible in this age. It is very difficult. So meditation and breathing exercise is not a part of our program, but it is automatically performed by this process of chantingHareKṛṣṇaHareKṛṣṇaKṛṣṇaKṛṣṇaHareHare,HareRāmaHareRāmaRāmaRāma... That is automatically done. It is so nice process. Then your next question is, ""Is diet an important segment of the word?"" Yes. Diet is very important thing. Just like when a patient goes to a physician, he prescribes a certain type of diet. Why? That's a practical fact. Why you accept a physician prescription of diet? Suppose a man is suffering from diabetes; his diet is different. A man is suffering from tuberculosis; his diet is different. A man is suffering from typhoid fever; his diet is different. Therefore diet shall not be extravagant or whimsical. They must be selected. First of all we have to see what is the diet of the human being. Actually I read in some scientific magazine, a medical magazine, that our teeth is not meant for eating meats. These teeth are meant for eating fruits. Actually the shape of the teeth is like that, just like sharp knife. You can, apple you can take immediately. But if you take one piece of meat, you cannot eat so easily with these teeth. So first of all you have to understand what is your diet. So your diet is different from animals' diet. You take anything. Even stool is food for a certain animal, but that does not mean I have to eat stool also. Stool may be eatable for a certain type of animal. ""Oh, that is not my diet or food."" Similarly, we have to discriminate. Now so far we are concerned,Kṛṣṇaconscious person, we are studyingKṛṣṇaconscious. What is our diet? Our diet isKṛṣṇa-prasādam,what is offered, as I told you, that something is offered toKṛṣṇa. Then we take. We don't take anything direct. Just like these fruits. We have first of all offered toKṛṣṇa. Here is a plate. Then we take. That is our system. Even we take vegetables, fruits, we don't take directly. We first of all prepare or cut into pieces, offer to the Deity. Then we take. Now, the idea is that we take the remnants of food offered toKṛṣṇa. Now, when you offer something to some respectable person, you ask him, ""What can I offer you?"" If I go to your house and if you want to offer me something to eat, you will ask me what I wish to eat. That is the etiquette. So similarly, we have to offerKṛṣṇawhatKṛṣṇalikes to eat. So how we can know? In this book we have the things, whatKṛṣṇawants. He says, ""You give Me foodstuff,patraṁpuṣpaṁphalaṁtoyaṁ[Bg.9.26]fruits, flowers, grains, milk, like that."" So our diet isKṛṣṇaprasādam.Therefore...Kṛṣṇawants these things. We prepare these things, and we eat the remnants of food. IfKṛṣṇasays that ""You give me meat,"" then we can offerKṛṣṇameat also. ButKṛṣṇadoes not say that.Kṛṣṇasays, ""Give Me fruits, flowers, grains."" So we have no quarrel with the meat-eaters. Let them do whatever he likes. But our concern is that unlessKṛṣṇatakes, we don't take. So in order to becomeKṛṣṇaconscious, this is necessary, just like an important segment of the work. We cannot accept anything which is not offered toKṛṣṇa. Therefore this diet, this sort of diet, as you have tasted in our love feast, that is important. We cannot take outside the scope. So in that sense, diet is important. Besides that, from health point of view also, you require a balanced food—carbohydrate, starch, protein, and fat. That is scientific. So fat we are getting from milk, butter. So if I can get fat from milk and butter, why shall I kill the cow and animal? This is humanity. My necessity is to get some milk and fat. The cow is supplying you milk and fat sufficiently. Why should you kill it? I am going to beKṛṣṇaconscious, God conscious, and I am killing another God's creature? So it is very important work to select that: if anyone is serious to become God conscious orKṛṣṇaconscious. Therefore in our program meat-eating is forbidden. So that is very important in that sense. The next question is, ""So, what is the significance..."" I think I've already explained this. ""Is there a probationary period forKṛṣṇaconsciousness or does one attain this enlightening according to his own rate of development?"" Yes, everything requires little enthusiasm. Just like a boy is going to school with no enthusiasm, and a boy is going to school with nice enthusiasm. One boy is passing in the first class, first division and another boy is failing or he's passing in the third division. So the probation period, of course, I've already explained: to associate with us, the second stage. First stage is faith and respect, the second stage is association. That is probational period. And so far attaining enlightenment according to one's rate of development; that development depends on your enthusiasm; how far you are serious. But one should become very serious. That is the law in every sphere of achievement. So for attaining to the perfectional stage ofKṛṣṇaconsciousness, one should be very much enthusiastic. Yes. He must attain to the perfectional stage in this life. And then one should be patient also. Enthusiasm does not mean if I attain something immediately the result is immediate. No. The result may be delayed but we should not be disturbed. But we must go on working with enthusiasm. This is called patience. Enthusiasm, patience and confidence. Because we believe inKṛṣṇa.Kṛṣṇasays that if you do this you get this result. Therefore I must have confidence. Just likeKṛṣṇasays that simply by understanding Him, what He is, how does He come, how does He walk, one immediately gets passport to enter into the spiritual kingdom. So we must have confidence that I'm working inKṛṣṇaconsciousness, I must go back to Godhead, back to home. This is confidence. So enthusiasm, patience, confidence. And...yaḥsyād ... niscyad...tat-tat-karma-pravartanāt.Simply enthusiasm but no work. But you must be engaged in the prescribed duties ofKṛṣṇaconsciousness. And you must keep always yourself in the association of devotees."
Guest:,Guest:Very effective.,Prabhupāda,So you should cooperate with us. So your questions are finished? Any extra question you can ask if you like.
Interviewer:,"Interviewer:Swami, will you get a little closer to that microphone, if you will. You are the head of ISKCON, the International Society for Krishna Consciousness.",Prabhupāda,Yes.
Interviewer:,Interviewer:Is it a church?,Prabhupāda,"It is not exactly a church, but it is an institution for understanding the science of God."
Interviewer:,"Interviewer:Could you tell people how you are dressed today, what's the significance of your clothes?",Prabhupāda,About the significance of our institution?
Interviewer:,"Interviewer:No, about the way your clothes, the way you're dressed today. Uh, the robes.",Prabhupāda,"Oh, the robe? Yes, I am asannyāsī.Thesannyāsīis the highest status of human social division. According to Vedic culture there are four divisions of human society.Brahmacārī,student life; then householder,gṛhastha;and thenvānaprastha,retired life; and thensannyāsalife, means preaching transcendental knowledge to the society from door to door. So this dress... In Vedic culture, there are different dresses for different persons. So this saffron colored dress means that he is admitted without any introduction anywhere because he's understood to be a man of transcendental knowledge. And the householders receive them and take knowledge from them. That is the system of Vedic culture."
Interviewer:,Interviewer:You also have a garland of flowers around your neck.,Prabhupāda,"That is offered by the disciples as a matter of respect to the spiritual master. It is not necessary that asannyāsīhave a garland like this, but if it is offered with respect he does not refuse."
Interviewer:,"Interviewer:Now, one more thing, you have some paint or color down your forehead and your nose and on all your followers who are here in the studio.",Prabhupāda,Yes. These marks are a temple ofKṛṣṇa. We mark these different twelve parts of the body. The idea is that we are being protected by God from all sides.
