Question Speaker,Question Text,Answer Speaker,Answer Text
Prof. Kotovsky:,"Prof. Kotovsky:Yes, you know, what is interesting... As it is here in our country, with our great interest in the history of old, old god, from this point of view our institute translated into Russian and published many, I may say, literary monuments of great Indian culture. I will have a pleasure to present you a copy of a booklet which was written here by me and my colleagues. It's account of Soviet studies of India. And here there is chapter, chapter second, ""Studies of Ancient Indian Texts in the U.S.S.R..."" You'll be interested to discover, we published not all but some, some in exceptions,Purāṇas.We published most of them, then some parts ofRāmāyaṇa,eight volumes in Russian,Mahābhārata...We have also second edition ofMahābhārata,translated by different people.KabukareArtha-śāstra(?) also was translated in full and published.Manu-smṛtialso translated in full and published with Sanskrit commentaries. And such a great interest... I think that all these publications was sold in a week. Now quite completely out of stock, this... It was impossible to get them in book market after month, such a great interest among reading people here in Moscow and the U.S.S.R. towards ancient Indian culture. And from this point of view we published, I must say, a lot of things, a lot of things.",Prabhupāda,"Now, amongst thesePurāṇas,theŚrīmad-Bhāgavatamis called theMahā-purāṇa."
Prof. Kotovsky:,Prof. Kotovsky:Mahā-purāṇa.,Prabhupāda,"Yes. So we have translated in English the full, with the original Sanskrit text, its transliteration, an English equivalent for each word, then translation, and then purport, explanation of the verse. In this way there are 18,000's of verses inŚrīmad-Bhāgavatam.And theācāryas,the great saintly sages who are the preachers of thisBhāgavatamthroughout India, their opinion is that it is the ripened fruit of the Vedic desire tree.Nigama-kalpa-tarorgalitaṁphalaṁidam[SB1.1.3].And it is accepted by all, I mean, Indian scholars, and especially LordCaitanya, He preached thisBhāgavata.So we have got that, complete in English translation. If you want to see some of them, we can show you."
Prof. Kotovsky:,"Prof. Kotovsky:It seems to me that in the Moscow and Leningrad libraries we have nearly all major texts of ancient Indian culture, beginning fromVedas,original text in Sanskrit. For instance, we have in Lenin Library nearly six or eight editions of...",Prabhupāda,(Aside:) You have not brought any books? Eh?
Prof. Kotovsky:,Prof. Kotovsky:...Manu-smṛti.,Prabhupāda,You have not brought any books?Bhāgavata?
Prof. Kotovsky:,"Prof. Kotovsky:Editions is there. Especially in Leningrad, you know, in Leningrad we have...",Prabhupāda,Yes.
Prof. Kotovsky:,"Prof. Kotovsky:...about, Leningrad branch, Leningrad branch of our institute—because institute was in Petorussia(?), founded in Leningrad—so in Leningrad now we have now a branch of our institute dealing mainly...",Prabhupāda,Yes.
Prof. Kotovsky:,"Prof. Kotovsky:...with the history of Asiatic culture. We have a million...(Aside:) Thank you very much. Here is a sample account of our book. You will find here some account of what has been translated and what else is being done in the history of Indian philosophy, and now with this Indian philosophy, history of Indian religion, and now with this Indian..., what is Hinduism now, just now in India also. It is very simple account of...",Prabhupāda,Hinduism is a very complex term. (laughs)
Prof. Kotovsky:,"Prof. Kotovsky:Oh, yes, Hinduism. It is not all... It is really... To my understanding it is not religion from European point of view. It is a really a way of life...",Prabhupāda,Yes.
Prof. Kotovsky:,"Prof. Kotovsky:...religion, Indian, a way of philosophy, a way of life, a religion, everything...",Prabhupāda,"No, this Hinduism,Hindu, this word, is not a Sanskrit word. It is given by the Mohammedans. You know there is a river, Indus, which is..., Sanskrit name isSindhu.Sindhu."
Prof. Kotovsky:,"Prof. Kotovsky:Yes. Oh, yes, yes, yes.",Prabhupāda,"These Mohammedans, they pronounce ""S"" as ""H."" ""Hindus,"" ""Hindus."" Instead of  ""Sindus,"" they made it ""Hindus."" SoHinduis a term which is not found in the Sanskrit dictionary."
Prof. Kotovsky:,Prof. Kotovsky:Yes.,Prabhupāda,"But it has come into use. Real, I mean to say, cultural institution is calledvarṇāśrama,fourvarṇasand fourāśramas:brāhmaṇa, kṣatri,vaiśya,śūdra—these fourvarṇas—andbrahmacārī,gṛhastha, vānaprastha,andsannyāsa.So according to Vedic concept of life, unless people take to this system or institution, institute ofvarṇaandāśrama,fourvarṇasand fourāśramas,actually he does not become a civilized human being. This... One has to take this process, four divisions ofvarṇasand four..., four divisions of social order and four divisions of spiritual order. That is calledvarṇāśrama.So India's culture is based on these four, eight system,varṇaandāśrama."
Prof. Kotovsky:,Prof. Kotovsky:Varnāśrama.,Prabhupāda,"Varṇa,varṇāśrama.And in theBhagavad-gītā—perhaps you have readBhagavad-gītā—there is also the statement,cātur-varṇyaṁmayāsṛṣṭaṁ[Bg.4.13].It is... This system is created originally byViṣṇu. So as everything is creation of the Supreme, they cannot be changed. That is a prevalent everywhere, that a... Sun. Sun is creation of the Supreme. So sunshine is here in America, in Russia, in India—everywhere. Similarly, thisvarṇāśramasystem is prevalent everywhere in some form or other. Just like thebrāhmaṇas.Thebrāhmaṇasmeans the most intelligent class of men, brain, brain of the society. Then thekṣatriyas,the administrator class. Then thevaiśyas,the productive class, and theśūdras,the worker class. These four classes of men are everywhere present in different names. And because it is creation by the original creator, so it is prevalent everywhere,varṇāśrama-dharma.[break] So have you seen this little, how we are translating this? You can see little. Originalśloka,its transliteration, then its English equivalent, then translation, then purport, each and every verse is being done like that, wholeBhāgavatamPurāṇa."
Prof. Kotovsky:,"Prof. Kotovsky:But you know what is interesting to... It is the opinion of some European and old, old Russian scholars, thisvarṇāśramasystem...",Prabhupāda,Yes.
Prof. Kotovsky:,"Prof. Kotovsky:...is a bit late creation. If you would trace the oldsūtras,texts, of Vedic literature, you would find much more simple and egalitarian society. And there is an opinion that thisvarṇāśramasystem was introduced into Indian society on the late stage of Vedic era but not from the beginning, about... If you would analyze scientifically the old texts, you'll find that... [break]...human estimations. (laughs) As many brains, as many estimations...",Prabhupāda,(laughs) That's it.
Prof. Kotovsky:,Prof. Kotovsky:...about the duration of this period because unfortunately the old classic India we have not so much information.,Prabhupāda,"But so far... So far we are concerned, thisBhagavad-gītā...It is mentioned in theBhagavad-gītā,cātur-varṇyaṁmayāsṛṣṭam[Bg.4.13].Now, thisBhagavad-gītāwas spoken five thousand years ago, and in theBhagavad-gītāit is said that ""This system ofBhagavad-gītāwas first spoken by Me to the sun-god."" So if you take estimation of that period, it comes forty millions of years. So whether the European scholars can trace out the history of at least for five thousand years together, not to speak of forty millions?"
Prof. Kotovsky:,Prof. Kotovsky:Yes.,Prabhupāda,"So we have got evidences that hisvarṇāśramasystem is current at least for the five thousand years,varṇāśramasystem. And thisvarṇāśramasystem is mentioned in theViṣṇuPurāṇaalso.Varnāśramācaravatapuruṣeṇaparaḥpumān[Cc.Madhya8.58].Varnāśramaacaravata.So that is stated in theViṣṇuPurāṇa.And sovarṇāśrama-dharmais not a, within any historical period calculated in the modern age. It is natural. And in theŚrīmad-Bhāgavatamthe comparison is given, just like in your body, in my body, there are four divisions, the face, facial, or the brain division, and the arms division, the belly division, and the leg division, similarly, by nature's way these four divisions are existing in the social body. You may take history wherever you begin, but this is existing. A class of men, they are considered to be brain. A class of men, they are considered to be the arms, administrators. And a class of men, they are called productive class. So there is no need of tracing the history. It is naturally existing from the day of creation."
Prof. Kotovsky:,"Prof. Kotovsky:According to so many... You have just told that in any society there are four divisions, but the case is not so easy to distinguish. For instance, one can group, one can group, group together, different social classes and professional groups into four divisions in any society. There's no difficulty. Only difficulty, for instance, in socialist society of our country and a socialist society how can you distinguish productive group and workers?",Prabhupāda,Just like you belong to the intelligent class of men.
Prof. Kotovsky:,"Prof. Kotovsky:Intelligent, yes, so...",Prabhupāda,So this is a division.
Prof. Kotovsky:,"Prof. Kotovsky:Yes, intelligent class, for instance,brāhmaṇas,if you can put together also with intelligentsia under thebrāhmaṇas...",Prabhupāda,Yes.
Prof. Kotovsky:,Prof. Kotovsky:Then administrative staff...,Prabhupāda,Yes.
Prof. Kotovsky:,Prof. Kotovsky:...everywhere.,Prabhupāda,Kṣatriya.
Prof. Kotovsky:,"Prof. Kotovsky:From top to... From top to collective farm, for instance, iskṣatriyas.But who would be herevaiśyaand whośūdra?That is the difficulty because all others will workers, workers, anywhere, factory workers, collective farm workers and so on. So from this point of view...",Prabhupāda,From this point of view...
Prof. Kotovsky:,"Prof. Kotovsky:...there is a great distinction, in my opinion, between socialist society and all societies preceding socialist because in a modern western society you can group all social professions, classes, for instance, practically, very conditionally, you know, at least you can, thebrāhmaṇas, kṣatriyas, kṣatriyas...Excuse me... Then thisvaiśya,this productive class, is owners...",Prabhupāda,That is...
Prof. Kotovsky:,Prof. Kotovsky:...of the means of production...,Prabhupāda,Yes.
Prof. Kotovsky:,"Prof. Kotovsky:...these factory owners, for instance.",Prabhupāda,Yes.
