Question Speaker,Question Text,Answer Speaker,Answer Text
Śyāmasundara:,"Śyāmasundara:...1972 in Māyāpura. Conversations between Śrīla Prabhupāda and Bob, a Peace Corps worker, entitled ""Perfect Questions, Perfect Answers."" [break] (Devotees are singing prayers to Lord Nṛsiṁhadeva loudly over loudspeaker in background.)",Prabhupāda,...because he knows things as they are.
Bob Cohen:,Bob Cohen:(indistinct) ...knows things as they are.,Prabhupāda,Huh?
Bob:,Bob:He hopes he knows things as they are.,Prabhupāda,"No, he's supposed to know. We approach to a scientist because he's supposed to know the things right. (A loudspeaker is playing very loudly in the background.) Let them make a little soft. [break] (laughter) Great relief. (laughter)"
Bob:,Bob:I have felt that the loudspeakers were too loud all day.,Prabhupāda,Yes.
Bob:,Bob:And I mentioned it to somebody.,Prabhupāda,It is pinching.
Bob:,Bob:Yeah. It loses some maybe transcendentalism through the amplifier.,Prabhupāda,"Yes, yes. Ask them to make it softer. So scientist means one who knows things as they are. That is scientist. SoKṛṣṇameans all-attractive. (Speaks to someone in Bengali) [break] So just like your daughter, she was also... I was little older, so I was beating her like anything. (laughter) (pause) SoKṛṣṇameans all-attractive."
Bob:,Bob:All-attractive.,Prabhupāda,All-attractive.
Bob:,Bob:All-attractive.,Prabhupāda,"Yes. So unless God becomes all-attractive, how He can become God? (pause) A man is important when he's attractive. Is it not?"
Bob:,Bob:It is so.,Prabhupāda,"So, God must be attractive and attractive for all. Therefore, if God has got any name, or if you want to give any name to God, only ""Kṛṣṇa"" can be given."
Bob:,Bob:But why only the nameKṛṣṇa?,Prabhupāda,"Because all-attractive.Kṛṣṇa, this word, means all-attractive."
Bob:,"Bob:Oh, I see.",Prabhupāda,"Yes. God has no name, but by His quality we give His name."
Bob:,Bob:May He be called...?,Prabhupāda,"Just like if a man is very beautiful, we call ""beautiful."" If a man is very intelligent, we call him ""wise."" So name is given according to the quality. Because God is all-attractive, therefore the only nameKṛṣṇacan be applied to Him.Kṛṣṇameans all-attractive."
Bob:,"Bob:What about a name meaning ""all-powerful""?",Prabhupāda,"Yes. Attractive means... Unless you are powerful, how you can be attractive? (laughter)"
Acyutānanda,It includes everything.,Prabhupāda,"Includes everything. He must be very beautiful, He must be very wise, He must be very powerful, He must be very famous..."
Bob:,Bob:IsKṛṣṇaattractive to rascals?,Prabhupāda,Oh yes. He was the greatest rascal also.
Bob:,Bob:How is this?,Prabhupāda,(laughing) Because he was teasing always thegopīs.
Śyāmasundara:,Śyāmasundara:Teasing?,Prabhupāda,"Yes. The Rādhārāṇī would go, because She was married andKṛṣṇawill attack Her. And when She fall down, ""Kṛṣṇa, don't torture Me in that way,"" She will fall down, andKṛṣṇawill take the opportunity and kiss her. (Prabhupāda laughs) So from superficially, Rādhārāṇī was very pleased, but superficiallyKṛṣṇais a great, the greatest rascal. Unless rascaldom is not inKṛṣṇa, how rascaldom is there, existence in the world? Because our formula of God is that He's the source of everything. Ask her not to talk. (Shouts at someone in Bengali)Kathakaibenā!Kathakaibenā.Unless rascaldom is not inKṛṣṇa, how it can be manifest. Because He's the source of everything. But His rascaldom is so nice that everyone worships His rascaldom."
Bob:,Bob:But what about the rascals who are not so nice?,Prabhupāda,Huh?
Bob:,Bob:What about...,Prabhupāda,"No, rascaldom is not nice. ButKṛṣṇais absolute God, therefore rascaldom is also good.Kṛṣṇais all-good. God is good."
Bob:,Bob:Yeah.,Prabhupāda,"Therefore, when He becomes a rascal, that is also good. That isKṛṣṇa. Rascaldom is not good, but when it is practiced byKṛṣṇa, because He's absolute good, that rascaldom is also good. That one has to understand."
Bob:,Bob:Are there some people who do not findKṛṣṇaattractive?,Prabhupāda,"It is not the..., no question of some people.Kṛṣṇacannot be compared with some people. He's God."
Bob:,"Bob:No, do some people find Him not attractive?",Prabhupāda,Huh?
