Question Speaker,Question Text,Answer Speaker,Answer Text
Bali,BaliMardana:HṛdayānandaSwami.,Prabhupāda,"You, you were atheist?"
Hṛdayānanda,Yes.,Prabhupāda,So what is your view of atheist? What is your argument?
Hṛdayānanda,"Kīrtanānanda, his argument was, when he was an atheist, he said that actually the void is truth, and all categories or all varieties are illusion. So he said that we may think that actually spiritual variegatedness is transcendental, but that's actually also our illusion. That was his argument.",Prabhupāda,So what did you reply?
Hṛdayānanda,"I replied that if categories are illusion, then his talking is also illusion.",Prabhupāda,"Yes, that's nice."
Hṛdayānanda,So I wouldn't let him say anything else.,Prabhupāda,"(laughs) Yes, very good reply. ""And you are also illusioned. Whatever nonsense you are talking, that is also illusion. Finish. Void, everything."" Then what did he reply?"
Hṛdayānanda,"He said... I just wouldn't let him say anything. Whenever he tried to talk, I just said, ""That's illusion."" [break]",Prabhupāda,"This reply we give to the Māyāvādīs. So we speak to theMāyāvādīguru, that ""Whether you are inmāyā?Because everything ismāyā,so whether you are also inmāyā?"" So if he says, ""Yes,"" then how he can becomeguru?"
Karandhara:,"Karandhara:ProfessorBharatisaid that. And when the students asked him, ""Isn't everything in this world illusion?"", he said, ""Yes, everything is illusion, but I like it very much.""",Prabhupāda,He likes it very much.
Karandhara:,Karandhara:That's what he said.,Prabhupāda,Therefore he is a rascal. That proves that he is a rascal.
Hṛdayānanda,"After that debate, many, many people have boughtBhagavad-gītās.",Prabhupāda,"Oh, then it is good triumph. Yes. (begins chantingjapa) [break] ...ponds like this, we remember immediately Bengal. Yes. In Bengal there are many, many ponds. (pause) What is called, this playing? What is this? Golf?"
Hṛdayānanda,Golf course.,Prabhupāda,They are coming for playing golfs?
Hṛdayānanda,They think that a gentleman should play golf.,Prabhupāda,"Yes, that is the fashion of the society."
Karandhara:,Karandhara:A man is considered very rich if he can play golf every day. The rich men play every day.,Prabhupāda,"It is very expensive, golf?"
