Question Speaker,Question Text,Answer Speaker,Answer Text
Brahmānanda,Yes.,Prabhupāda,"SoArjunasaid that ""You have connection with my father. Therefore you are my mother."""
Śrutakīrti:,"Śrutakīrti:You mentioned him in theCaitanya-caritāmṛtapurport. When oneyogiwas performing severe austerities, LordIndrawould send the dancing girls. They were called...",Prabhupāda,Yes.Apsarās.
Śrutakīrti:,Śrutakīrti:Yes.,Prabhupāda,Apsarās.
Śrutakīrti:,Śrutakīrti:He would send them.,Prabhupāda,"The same thing here. Just like prostitute, they are going to the club. The father is going also; the son is going. And the prostitute is the same. Everywhere, this material happiness, wine, women..."
Brahmānanda,"I think there... That boy, Ranchor, his father said, ""You leaveKṛṣṇaconsciousness and I will give you a car and women.""",Prabhupāda,"Yes. Your father also said like that. (laughter) Here father will feel shame to advise the son, or the son will feel shame to talk about sex with father or mother."
Brahmānanda,Yes.,Prabhupāda,"About sex one can talk with friends, not with father and mother."
Brahmānanda,Not with...,Prabhupāda,"But in western countries it is very open talk. And open business also.Sarvatra.Sarvatralokāntare 'pi vasanavagatyaihaduḥkhānusaṅghanena,nivṛtta-kāma...(?) So one should give up this material sense gratification. The more you become entangled in material sense gratification, more you'll have to remain in this material world.Ititiprokti malakamtaṁproktaṁkāmakarmaproktagenaiti,ahaṁdevaupasyayesantaisaṅghatanirvairaadrstitvaṁ samyag anvasyaduḥkha,sukha-duḥkhaeva,sukha-duḥkha...(?) Water is wasted?"
Śrutakīrti:,Śrutakīrti:Almost full. Very slow.,Prabhupāda,"Vīrarāghavācārya:deha-geha-gehayoḥātmiyabuddhiḥjihasayatyāgecchāya(?).Ātma-buddhi,this family, society, friendship and love. Yes. To feel very much affection... What is called? Attached.Tyāgecchā.It should be given up. Therefore thesannyāsaāśrama.Just try to deliver this message very... Everyone is in darkness. Therefore I was speaking. They do not know what issiddhi.Yesterday, you were present? Yes."
Brahmānanda,"Oh, yes.",Prabhupāda,"They do not know what issiddhi.What is perfection of life, they do not know. Neither they have information."
Brahmānanda,Simply they talk about it.,Prabhupāda,"All foolish.Andhāyathāndhairupanīyamānāḥ[SB7.5.31].Blind man leading other blind men. There is no sense. Whole civilization. It is, thisKṛṣṇacon..., our movement is a challenge to everyone, a challenge, genuine challenge. After all, everyone wants happiness, but they do not know what is happiness. So you can make fewpurisandkittri.That's all."
Śrutakīrti:,Śrutakīrti:Pālikāis already cooking.,Prabhupāda,Oh.
Brahmānanda,"Puris,he said.",Prabhupāda,Cāpāṭican also be...
Śrutakīrti:,"Śrutakīrti:Puriorparāṭā,I think, would be...",Prabhupāda,Parāṭācan do.
Śrutakīrti:,"Śrutakīrti:Yes, she is...",Prabhupāda,So you can give me massage now.
Brahmānanda,HareKṛṣṇa.Namaoṁviṣṇu-pādāya...,Prabhupāda,"Sarvatravasanavagatya(?). So if this advertisement attracts some people, then I can remain here."
Brahmānanda,Yes.,Prabhupāda,To organize this.
Brahmānanda,Yes.,Prabhupāda,"For some time. Oh, they have got a bath also?"
Śrutakīrti:,Śrutakīrti:Yes.,Prabhupāda,Very nice.
Śrutakīrti:,Śrutakīrti:Yamunāhas... She has...,Prabhupāda,Where isYamunā?
Śrutakīrti:,Śrutakīrti:I guess she is out shopping also.,Prabhupāda,"Sarvatravyasanad apyatra...(?) Now here, as soon as we came, we thought it very nice, and immediately..."
Śrutakīrti:,Śrutakīrti:So many things.,Prabhupāda,"So many inconveniences. (laughter)Vyasanad apyatra.Wherever you go, even though you found it is very convenient, very nice, you must know there is, there is inconvenience. Don't be so sure that it is full of nice things. No. That is not possible.Sarvatravyasanadapi.What is that?"
Śrutakīrti:,Śrutakīrti:Fifteen minutes of water.,Prabhupāda,"Oh... So you, you can get that connection disconnected now. Otherwise you're going..."
Śrutakīrti:,Śrutakīrti:Yes. I could also connect over to here.,Prabhupāda,"Yes. For the time being, you disconnect. Otherwise it will fall down."
Śrutakīrti:,Śrutakīrti:Yes.,Prabhupāda,With water. Then you create another inconvenience. Yes. That's it. You have taken your bath? Not yet?
Brahmānanda,"In the morning, we took.",Prabhupāda,You have taken?
Brahmānanda,Oh yes.,Prabhupāda,So where is your oil?
Śrutakīrti:,Śrutakīrti:I have it. [break] (end),Prabhupāda,"...for others it is said. ForKṛṣṇa, it is mercy. Thegopīscame with lust. They became purified with Kṛṣṇa's association.Gopīsactually, superficially, externally, they are, means,nitya-siddha,ever-liberated expansion of Kṛṣṇa's energy, internal energy. But apparently, they left their father, husband and came toKṛṣṇa. So that is, from Vedic principle, it is wrong. One young girl cannot go to other young man, giving up the protection of father, brother, and... So they did it. So they, according to Vedic principle, it is sinful. But because it was related withKṛṣṇa, they became purified. That means any way, if one comes in contact withKṛṣṇa, he becomes purified. Even though he's sinful. That is Kṛṣṇa's... That is the benefit ofKṛṣṇaconsciousness. Sun is never infected. Rather, the infected area becomes sterilized by the sunshine. This is the process. That is explained.Tejīyasāṁnadoṣāya[SB10.33.29].One who is very powerful, he has no fault. So how your temperature is going on?"
Śyāmasundara:,Śyāmasundara:Everything is getting very nicely improved.,Prabhupāda,That's nice.
Brahmānanda,Yes.,Prabhupāda,"I got everything, still, I haven't got anything. (laughter) So you can invite the neighboring people. We can hold an evening class or morning class. I'll give you one matter for... [break] This is a nice place. If you invite the neighboring..., they may come and take advantage."
Śyāmasundara:,Śyāmasundara:It looks like an American neighborhood.,Prabhupāda,Eh?
Śyāmasundara:,Śyāmasundara:It looks like an American neighborhood.,Prabhupāda,Yes. It is very nice place. So you are also helping Tejas?
Śyāmasundara:,Śyāmasundara:Yes.,Prabhupāda,That's nice.
Śyāmasundara:,Śyāmasundara:Tomorrow morning I'm meeting with IndiraGandhi...,Prabhupāda,Oh!
Śyāmasundara:,Śyāmasundara:...and the American ambassador.,Prabhupāda,If IndiraGandhicomes one day...
Śyāmasundara:,Śyāmasundara:Yes.,Prabhupāda,...that will be very nice.
Śyāmasundara:,"Śyāmasundara:We're thinking if we can get either one of those two, then everyone else will come very easily. They'll give money, everything.",Prabhupāda,"Yes, yes. It is very nice. IndiraGandhiknows our movement. Is it not? Yes, she knows."
Śyāmasundara:,"Śyāmasundara:Yes. I approached her that you are the great, the greatest emissary ofKṛṣṇa, of Indian culture outside of India. So...",Prabhupāda,That is a fact. But these rascals do not appreciate it. Others are appreciating.
Śyāmasundara:,Śyāmasundara:Yes.,Prabhupāda,"The foreign countries, they're appreciating, ""Here is real Indian culture."" They should also appreciate by the result."
Śyāmasundara:,"Śyāmasundara:Yes, that's the point.",Prabhupāda,"By the result, not theoretical."
Śyāmasundara:,Śyāmasundara:No. So we were showing pictures and books.,Prabhupāda,"Hmm. Every sane man should appreciate. When European and American young men, who are after material sense gratification, they're takingsannyāsa,it is not joke. They should appreciate it. In an age where material sense enjoyment is very prominent, and they give up everything forKṛṣṇa, and they're going far away from their comfortable position... Just likeBrahmānandahas gone to Africa. So what for? Unless they appreciateKṛṣṇaconsciousness, how they take up this job? This is practical. There is no question of theoretical."
Brahmānanda,You said that last night when you spoke that about we are actuallysiddhas.,Prabhupāda,Yes.
Brahmānanda,We are not...,Prabhupāda,That I wanted to prove... (laughs)
Brahmānanda,Yes.,Prabhupāda,"...that these boys aresiddhas.Others, they do not know what issiddhi."
Brahmānanda,"They have not even left family connection, you said.",Prabhupāda,(laughs) That I... That Mr. Kokoor...
Brahmānanda,Yeah.,Prabhupāda,...talking high talks. Simply high words will not do.
