Question Speaker,Question Text,Answer Speaker,Answer Text
Chandobhai:,Chandobhai:...proktamadhidaivaṁkimucyate.,Prabhupāda,Yes. So these are the questions. So the answer will be there.
Dr. Patel:,Dr. Patel:ParamBrahmanisakṣara.,Prabhupāda,"Akṣara?First of all try to understand.Akṣara...Akṣarameans, ""that does not fall down."" That isakṣara.Akṣaraandkṣara.The spiritual world isakṣara,and this material world iskṣara.So the living entities or God in the spiritual world, they are allakṣara.And in the material world we are allkṣara.Thereforeakṣaramparamaṁbrahma.The Supreme..."
Chandobhai:,Chandobhai:Svabhāvo 'dhyātmam.,Prabhupāda,Svabhāvam.
Dr. Patel:,"Dr. Patel:Svameans ""own.""",Prabhupāda,Eh?
Dr. Patel:,"Dr. Patel:Bhāvameans...?Bhāva(Gujarati)? Essence, essence.",Prabhupāda,Sva-bhāvaḥmeans nature.
Chandobhai:,Chandobhai:That is realbhāva.,Prabhupāda,Adhyātma.Adhyātmameans bodily and mentally.
Dr. Patel:,Dr. Patel:Adhyātma?Bodily and mentally?,Prabhupāda,Yes.
Chandobhai:,Chandobhai:Mentally. Spiritually... Inner existence.,Prabhupāda,"No.Adhyātmam.Adhyātma. Ātmameans body, mind and the soul, but hereadhyātmameans the body and the mind. That is material nature. The body and mind is made of material nature. [break] ...creation."
Chandobhai:,"Chandobhai:Creation, yes.",Prabhupāda,"So by working with the body, we create another creation."
Dr. Patel:,Dr. Patel:Bhūta-bhāvodbhava...,Prabhupāda,"Just like now I am a human being. Next life I may be a demigod, I may be a dog. That I create. That issarga."
Dr. Patel:,Dr. Patel:What iskarma?,Prabhupāda,"Karma,anyone can understand. As you... Fruitive activities. You do something and enjoy the good or bad result. That iskarma.You do something, either good or bad. So the result you'll have to suffer or enjoy."
Dr. Patel:,"Dr. Patel:But here is a very big question. I'm very sorry to... Who does thekarma?Unless and until we have gotahaṅkārain that, then...",Prabhupāda,"Theahaṅkārais there, falseahaṅkāra.You are thinking that ""I amkṣatriya."" That is falseahaṅkāra."
Dr. Patel:,"Dr. Patel:That is what I said. So doer is that,ahaṅkārais the doer.",Prabhupāda,Thatahaṅkāra...
Dr. Patel:,Dr. Patel:Then it iskarma.Not otherwise.,Prabhupāda,"As soon as you come to the material world, theahaṅkārais there, that ""I... I belong to India."" ""I belong to America."" ""I belong tobrāhmaṇacommunity,kṣatriya..."" Theahaṅkārais there.Ahaṅkāra-vimūḍhātmā.So long thisahaṅkārais there, ""I am this, I am that,"" all bodily concept..."
Chandobhai:,Chandobhai:Ahaṅkāra-vimūḍhātmā kartāhamitimanyate[Bg.3.27].,Prabhupāda,Yes.
Dr. Patel:,Dr. Patel:But thiskarma.Here is the question ofkarma.,Prabhupāda,"Thekarma...Karmameans he is doing, but every, everyone is doing in his own way. Nobody, nobody cares to understand the instruction ofKṛṣṇa. Everyone is doing in his own way. That iskarma."
Dr. Patel:,Dr. Patel:Kiṁkarmakimakarmeti kavayo...,Prabhupāda,"Ah, that will be explained.Karma,akarma,yes. [break] ...the same, material.Kṣara.Kṣarabhāvaḥ.That is perishable."
Chandobhai:,Chandobhai:Perishable.,Prabhupāda,Yes.
Chandobhai:,Chandobhai:Puruṣaś cādhidaivatam.,Prabhupāda,Puruṣa.Puruṣameans the soul.
Chandobhai:,Chandobhai:Soul.Jīva.,Prabhupāda,"Yes, thejīva.Puruṣaadhidaivatam.Then?"
