Question Speaker,Question Text,Answer Speaker,Answer Text
Dr. Patel:,Dr. Patel:Almost everything. All Hisśaktisexcepting Him.,Prabhupāda,"Athātobrahmajijñāsā, janmādyasyayataḥ[SB1.1.1]."
Girirāja:,"Girirāja:""They began to say that 'The chiefgopī,Rādhārāṇī, who was taken alone byKṛṣṇamust be very proud of Her position, thinking Herself the greatest of thegopīs.Yet how couldKṛṣṇatake Her alone, leaving all of us aside?' """,Prabhupāda,[break] ...byRūpaGosvāmī.Rādhejayajayamādhava-dayite.
Dr. Patel:,Dr. Patel:Rādhejayajayamādhava...,Prabhupāda,"Mādhava-dayite,gokula...Eh?"
Girirāja:,Girirāja:Taruṇī.,Prabhupāda,"Gokula-taruṇīmaṇḍala-mahite.Rādhejayajayamādhava-dayite,gokula-taruṇī,all themaṇḍala-mahite.She is the most beautiful amongst all the young girls inGokula.Rādhejayajayamādhava...RūpaGosvāmī's praying,"
Dr. Patel:,Dr. Patel:Even though They are one in...,Prabhupāda,Yes. Yes.Rādhā-kṛṣṇa-praṇaya-vikṛtirhlādinī-śaktiḥ.
Dr. Patel:,Dr. Patel:Hlādinī...,Prabhupāda,"Yes.Parāsyaśaktir vividhaivaśrūyate[Cc.Madhya13.65,purport].So Rādhārāṇī is thehlādinī-śakti.So when the Parabrahman wants to enjoy, He does not enjoy in this, the material energy. He expands His own pleasure potency. That isRādhā-Kṛṣṇatattva.Tad-dvayaṁcaikyamāptamcaitanyākhyaṁ prakaṭumadhunā.""They have again become united in the form of Lord ŚrīCaitanyaMahāprabhu.""Rādhākṛṣṇanāheanya. Śrīkṛṣṇacaitanya,rādhākṛṣṇanāheanya.Rādhā-kṛṣṇa-praṇaya-vikṛtirhlādinī-śaktir asmād ekātmānāvapideha...[Cc. Ādi1.5].HareKṛṣṇa. [break] ...in every respect. We imitate, ""I am the lord of everything."" That is also imitation."
Dr. Patel:,"Dr. Patel:Yes, that is also imitation. We are imitatinggopīs,notKṛṣṇa. (Hindi) Ah, his representative, will put on him. [break]",Prabhupāda,"Girirāja, who is the Girirāja?"
Girirāja:,Girirāja:Govardhana.,Prabhupāda,Yes.
Dr. Patel:,"Dr. Patel:You are alsoGovardhana, enlarger of the cows.",Prabhupāda,"Govardhana-pādapa-tale.This is the... This is thebhajanaofGauḍīyaVaiṣṇava.Herādhevraja-devikecalalite henanda-sūnokutaḥ.Kutaḥ:""Where You are?""GauḍīyaVaiṣṇavawill never say that ""We have seen.""Kutaḥ:""Where You are?"""
Dr. Patel:,"Dr. Patel:They were searching, search ofRādhā.",Prabhupāda,"Search ofRādhā. That isGauḍīyaVaiṣṇava,vipralambha,in separation, feeling ""Where isKṛṣṇa? Where isKṛṣṇa? Where isKṛṣṇa?""Govinda-viraheṇame. Śūnyāyitaṁjagatsarvaṁgovinda-viraheṇame."
Dr. Patel:,"Dr. Patel:""The whole world isśūnyain absence of...""",Prabhupāda,This isCaitanyaMahāprabhu's teaching.Govinda-vira...
Dr. Patel:,Dr. Patel:That is the point Śukadeva comes.,Prabhupāda,"No, Śukadeva later on came."
Dr. Patel:,"Dr. Patel:Yes, after that.",Prabhupāda,"Yes. So we should be always engaged inKṛṣṇa-kathā.Oh, danger is always there. This is a place..."
Dr. Patel:,Dr. Patel:You must act likeParīkṣit.,Prabhupāda,You don't care for danger. You go on chanting. That's all.Padaṁpadaṁyadvipadām[SB10.14.58].This is a place wherepadaṁpadaṁvipadām:every step there is danger. How much dangerous position you'll save? Better go on chantingHareKṛṣṇa. That's all.
Passerby:,Passerby:HareKṛṣṇa!,Prabhupāda,"HareKṛṣṇa. [break] ...and some European, one European was coming. So as soon as we face to face, so I had to get down. They forced me."
Dr. Patel:,Dr. Patel:You know that way they behaved with Gandhiji in South Africa.,Prabhupāda,"Beaten him like anything. He would have died. [break] Fisher's, Fisherman's island. ""I shall again turn them into fisherman's island."""
Dr. Patel:,Dr. Patel:British people is the fisherman's island.,Prabhupāda,Germany is the bitterest enemy of Britain.
Dr. Patel:,Dr. Patel:Stalin.,Prabhupāda,"No, Germany, whole Germany. They do not like to speak in English also. Yes, I have seen it. Even they know English, they'll not speak. In the bank they could speak a little, little English, but they avoid. Then I took... What is that boy that first went to...?"
Bhāgavata,Śivānanda.,Prabhupāda,"Śivānanda. Then I... Śivānanda talked in German. [break] ...two wars is due to Germany's hatred to Britain. That's all. There was always competition in colonization between France, Holland..."
Dr. Patel:,Dr. Patel:German. All of them.,Prabhupāda,"No, not Germany. Not Germany. Germany never tried for colonization."
Dr. Patel:,"Dr. Patel:Belgium, such a small thing, they have half of the Central Africa like a pyramid standing on its tip. [break]",Prabhupāda,"Britishers were maintaining the British Empire at the cost of India. Soldiers, money..."
Dr. Patel:,Dr. Patel:Indian Army was Indian Civil totally. Even today it is so. Indian Army fought... [break],Prabhupāda,"Pathans, Sikhs, they fought so nicely."
Dr. Patel:,"Dr. Patel:This Mount Hazenot(?) battle, which I read very...",Prabhupāda,[break] (laughter)HareKṛṣṇa.
Girirāja:,"Girirāja:""Śukadeva Gosvāmī has used the wordśraddhānvitafor one who is trained in the spiritual life.Śraddhā,or faith, is the beginning. One who has developed his faith inKṛṣṇaas the Supreme Personality of Godhead, the supreme spirit soul, can both describe and hear."" [break]",Prabhupāda,Why?
Bhāgavata,Caranaravinda was the hospital.,Prabhupāda,"So who is take care, him? [break] ...authorities.Anu.Anumeans follow.Anuśṛṇuyat. Śṛṇumeans ""hear.""Krīditaṁcaidaṁcavikrīditavraja-vadhūbhiḥ,viṣṇoḥanuśṛṇuyāt.Don't directly read. Don't directly.Anuśṛṇuyāt:""Hear from the authoritative person."""
Girirāja:,"Girirāja:""One must hear from disciplic succession.Anumeans following, andanumeans always. So one must always follow the disciplic succession and not hear from any stray professional reciters."" [break]",Prabhupāda,"There is onrāgastage. One must have passed thesādhanastage, neophyte stage, and, means, regulative principles."
Girirāja:,"Girirāja:""Those who are simply attracted to temple worship but do not know the philosophy ofbhaktiare in the neophyte stage."" [break]",Prabhupāda,"...still India's spiritual culture, that people were not trained up in thebhaktiscience; simply they go to the temple, ""dung, dung, dung."" (makes sound of bell-ringing) That's all. That has finished."
Dr. Patel:,Dr. Patel:Bhaktiis practiced more in south.,Prabhupāda,Eh?
Dr. Patel:,Dr. Patel:In the south there is...,Prabhupāda,"No, everywhere. Everywhere. They do not know. In the temple there is no discussion scientifically aboutKṛṣṇaor anything. You see? (Hindi)"
Bhāgavata,Bhāgavata-saptāhas.Bhāgavata-saptāhas.,Prabhupāda,"Ah,bhāgavata-saptāha.It is all nonsense. Simply they are hearing from the material platform somekarma-kāṇḍīyavicāra,that ""If you hear..."""
Dr. Patel:,Dr. Patel:KṛṣṇaŚaṅkara Śāstri is speaking very...,Prabhupāda,Huh?
Dr. Patel:,Dr. Patel:KṛṣṇaŚaṅkara Śāstri from Nariya(?) (indistinct) place.,Prabhupāda,"He's a learned scholar, I know."
Dr. Patel:,"Dr. Patel:He had also returned (indistinct) In Nariya(?) he's supposed to be the best scholar in Sanskrit, not only a bigbhaktaalso aVaiṣṇava. [break]",Prabhupāda,...there is nosaptāha.[break]
Dr. Patel:,Dr. Patel:People used to prostrate themselves.,Prabhupāda,All right. That is artificial.
Dr. Patel:,Dr. Patel:I have read somewhere. (indistinct),Prabhupāda,That is not the way.
Dr. Patel:,Dr. Patel:Have you read it? I have read it.,Prabhupāda,Even I do not... No. These are all nonsense.
Girirāja:,"Girirāja:""One who is actually deriving..."" [break]",Prabhupāda,"That is the disease, material disease, to become lusty. So if one actually hears from the authorityrāsa-līlā,then he is no more lusty. That is the test. That is the test."
Dr. Patel:,Dr. Patel:He becomes (indistinct) Thiskāmais always first everywhere. (indistinct),Prabhupāda,"Kāmais the basic principle of material life. That is explained inŚrīmad-Bhāgavatam.Puṁsāṁstriyāmithunī-bhāvametad:""Both men and women, they are attracted in this material world for this sex life.""Mithunī-bhāvametad. Tayormithaḥ.They are... Now, just see in this beach. They are coming all dressed, and the man is attracting woman; woman is attracting man. This is business, going on here."
Dr. Patel:,Dr. Patel:You are really... Oscar Wilde has written once...,Prabhupāda,"Yes, this is the fact. We can see it. We can see it. That's all. Everywhere the same business. In the Western world they are becoming more and more naked. You see? Mini, miniskirt."
Dr. Patel:,"Dr. Patel:No, no, no. What is that called, costume?",Prabhupāda,Topless. Topless.
Dr. Patel:,Dr. Patel:Topless and bottomless.,Prabhupāda,"These things are going on. That means they are attracted. Attracted.Puṁsāṁstriyāmithunī-bhāvametad.They'll dress. Woman will dress very nicely so that she can attract man, and man will also do something which will, he'll attract woman.Mithunī-bhāvamtayormitha...In this way, when they are united-hṛdāya-granthimāhuḥ,a very strong knot: ""Oh, you are mine. I am yours."" (laughter) ""You are mine. I am yours."" In this way they pull on this material life. And then, gradually, ""Now we must have good apartment to live and enjoy sex life.""Puṁsāṁstriyāmithunī-bhāvametad tayormithaḥhṛdāya-granthimāhuḥ,tathāgṛha.""Now have skyscraper building.""Kṣetra:""Land. We must produce food grains.""Tathāgṛha-kṣetra-suta:""We must have children."""
Dr. Patel:,"Dr. Patel:No, but according to theTaittiriyaUpaniṣad...",Prabhupāda,"No, no, this is... This is the material life."
Dr. Patel:,Dr. Patel:That's right. You are right.,Prabhupāda,"This is material...Tathāgṛha-kṣetra-sutāpta.Apta:friends. I must show: ""Just see how I have got big house, nice wife, good bank balance. Come and see. And just glorify me, 'Oh, you are very successful. Although you are going to be dog next life.' "" This is going on.Athogṛha-kṣetra-sutāpta-vittajanasyamoho 'yam.This is illusion. This is illusion.Janasyamoho 'yamahaṁmameti:[SB5.5.8] ""Now I am such and such big man, minister."" That's all. And he's... The minister is going to be dog next life. You see? That he does not know.Prakṛteḥkriyamāṇāniguṇaiḥkarmā...[Bg.3.27]."
Dr. Patel:,"Dr. Patel:I don't think they should be dog, become dog. They should become hogs.",Prabhupāda,"Yes, dog or hog, but the same. There is no much difference.Śva-viḍ-varāhoṣṭra-kharaiḥ[SB2.3.19].These animals have been especially mentioned.Śvameans dog, andviḍ-varāhameans hog.Śva viḍ-varā..."
Dr. Patel:,"Dr. Patel:Viḍ-varāha:""dirty eating hog.""",Prabhupāda,"Yes.Vit.Vitmeans stool.Śva-viḍ-varāha-uṣṭra.Uṣṭrameans camel, andkharameans ass. So thesegṛhamedhīsthey have been described as theśva, viḍ-varāha,uṣṭra,khara.Bhāgavatais very strong (laughs) in criticizing. Therefore in the beginning it is said,dharmaḥprojjhita-kaitavoatra:[SB1.1.2]""All types of cheating religion is rejected.""Dharmaḥprojjhita-kaitavoatra.Kaitavameans cheating. Śrīdhara Swāmī, he has...Paramonirmatsarāṇāṁ:""ThisBhāgavatais meant forparamonirmatsarāṇāṁ,those who are above this material existence,paramahaṁsas.""Bhāgavatais not meant for ordinary men."
Dr. Patel:,Dr. Patel:Who can make a distinction between milk and water.,Prabhupāda,"Yes. No, no, means he accepts only the milk, not the water. Similarly, this whole world is mixture of spirit and matter, so he rejects matter; he takes only spirit. That isparamahaṁsa.Go on."
Girirāja:,"Girirāja:""ViśvanāthaCakravartīṬhākura points out that according toBhagavad-gītā,theBrahmāday and theBrahmānight are periods of solar years expanding 4,300,000 multiplied by one thousand..."" [break]",Prabhupāda,"Four, I think. This one?"
Satsvarūpa:,"Satsvarūpa:Yes, 747. Jumbo.",Prabhupāda,"It is 447, yes. [break]"
Bhāgavata,...celebrate.,Prabhupāda,The celebration is you have to fast day and night and four times offer worship to the Lord Śiva.
Dr. Patel:,Dr. Patel:And drinkbhangalso.,Prabhupāda,"No, no, that is not recommended. But they can do... They do all now..."
Bhāgavata,"So we should observe this festival, Śrīla Prabhupāda?",Prabhupāda,Not necessarily.
