Question Speaker,Question Text,Answer Speaker,Answer Text
Harikeśa,Yes.,Prabhupāda,I have seen all that.
Devotee (1):,Devotee (1):This iskīrtana.(a child? cow?),Prabhupāda,Kirtana?(laughter) That's all right. Havekīrtana.
Nityānanda,Yes.,Prabhupāda,That is ours?
Nityānanda,Way over the hill and back down there is all ours. In this field we have the calves. And in this field here we have the big cows.,Prabhupāda,It is not now utilized?
Nityānanda,Not... No. We are just growing hay. Grass for hay. We can sell the hay in the winter for a good price.,Prabhupāda,It is not possible to walk. [break] ...it is born?
Nityānanda,This one? Last week. His name is... Her name isLakṣmī. There is more over here. [break] Bull calves. We are getting more bulls than females.,Prabhupāda,Why?
Nityānanda,I don't know.,Prabhupāda,Then how utilize the bulls?
Nityānanda,To plow?,Prabhupāda,"Plow, transport. You have to engage more men for plowing. Two bulls will be required for each plow."
Nityānanda,We can go this way maybe? See the sugarcane?,Prabhupāda,Yes.
Jagadīśa,This is not taking this yet?,Prabhupāda,No. Why?
Nityānanda,"We just cut it two days ago, and then it rained. We have to wait for it to dry before you can...",Prabhupāda,They will not be spoiled.
Nityānanda,"Yes, if it stays here too long, it will spoil.",Prabhupāda,And it rains.
Devotee (2):,Devotee (2):We will take it to the garden.,Prabhupāda,Then it will be soil? It will be fertilizer soil? Or no. When it is decomposed? [break] Drinking water?
Nityānanda,Milk.,Prabhupāda,Milk. (laughter) That is meant for calves? Those milk?
Nityānanda,Yes.,Prabhupāda,What is this?
Nityānanda,The barn.,Prabhupāda,"No, this part."
Nityānanda,"Oh, that's the door. It fell off. These are orange trees here.",Prabhupāda,Oh. How long it will take to grow?
Nityānanda,"Well, some down here already have a few oranges, but it will take a few years before they give a lot. They are very sweet kind. [break]",Prabhupāda,So small still. They are growing. [break]
Nityānanda,...sugarcane here. [break],Prabhupāda,...grow very high. [break] ...trees?
Nityānanda,Yes. [break],Prabhupāda,"...natural arrangement. Jungles—you cut the tree, make your home, and balance you make fuel. And the ground, plow and grow your food. That's all, natural."
Jagadīśa,Everything.,Prabhupāda,"In India still, in the villages they do not know, other than this wood fuel, anything else. They are misusing these trees by cutting, manufacturing paper, heaps of paper, in each house throwing daily. They do not read, but they are supplied heaps of paper and cutting these trees. Simply waste. Now wood and paper shortage all over the world. It takes so much time to grow, and one day they cut hundreds of trees like this and put into the paper mill. And heaps of paper is given every house, and he throws away. Then you bring garbage tank. In this way, waste."
