Question Speaker,Question Text,Answer Speaker,Answer Text
Brahmānanda,"One friend of the temple, one man, he has purchased it at a very high price, and he has lent it for your stay. These glasses are bulletproof. [break] This is a Lincoln Continental, Ford company.",Prabhupāda,Why he stopped? [break] ...without car? (Brahmānandalaughs) [break] ...Nixon's home.
Brahmānanda,"He has in Florida, Key Biscayne. He had two homes, one in Florida, one in California. But now he's staying in Florida. Recently he went to New York and testified before a committee. It's the first time that he has spoken publicly since his...",Prabhupāda,What is that committee?
Brahmānanda,They were investigating the Watergate.,Prabhupāda,"Oh. Oh, he had to present himself."
Brahmānanda,Yes. It's the first time any ex-chief executive has ever testified.,Prabhupāda,So he is not out of danger.
Brahmānanda,"Well, they're still investigating the whole thing.",Prabhupāda,"But I heard that he made a condition that he will no more be bothered. On this condition, he agreed to resign. [break] ...India the trouble is dissention between IndiraGandhiandJayaPrakashNārāyaṇa. So thatJayaPrakashNārāyaṇais fasting, I have heard."
Brahmānanda,That gentleman said. The doctor said. He's seventy-nine years of age.,Prabhupāda,Seventy-nine?
Tamāla,TamālaKṛṣṇa:Yes. Is there any danger to us from her arresting so many people?,Prabhupāda,No.
Tamāla,TamālaKṛṣṇa:Now she has clearly indicated that she is like a dictator. Otherwise how could she arrest...,Prabhupāda,So both of them are in distressed condition. I am thinking of writing them aboutBhagavad-gītā.Do you think it is advised? They can...
Tamāla,TamālaKṛṣṇa:I think Nixon would be more inclined to read it than Mrs.Gandhi. Because she already has rejectedHinduculture.,Prabhupāda,Who?
Tamāla,"TamālaKṛṣṇa:Gandhi. I mean, she always turns towards the Muslims more.",Prabhupāda,"No, no, she hasguru. And she is going occasionally to Anandamayi."
Brahmānanda,"Yeah, thatguruhas spoken highly of our movement. In Germany there was an interview of him in one German magazine, and he was asked about all different types of groups. And most of the groups he criticized, but our group he gave his recommendation, theHareKṛṣṇamovement.",Prabhupāda,What did he say?
Brahmānanda,"I don't remember exactly, but he stressed the importance of the chanting of themahā-mantra.He said ""It is an important means for God realization, and by doing this, one can achieve love of God, and they are spreading this all over the world.""",Prabhupāda,"So what do you think? Shall I write? Hm? I have made a draft of letter this night. So you come and see. Let us take a chance. We want actually good for everyone. And this is the only medicine,HareKṛṣṇamantra.For any problem.Para-duḥkha-duḥkhī.People are suffering. If herguruhas opined like that, then she may take some attention. Then it appears thatguruis to some extent nice."
Brahmānanda,Yes.,Prabhupāda,She gave interview to our men.
Tamāla,TamālaKṛṣṇa:I saw her twice.,Prabhupāda,"Oh, you saw? How did (s)he talk with you?"
Tamāla,TamālaKṛṣṇa:She was very respectful. And she wished our movement well.,Prabhupāda,Ācchā?
Tamāla,"TamālaKṛṣṇa:She said that she had difficulty to take an active part, because then she would have to take an active part in all such movements.",Prabhupāda,Hmm. That's it. That is the difficulty. She said frankly.
Tamāla,TamālaKṛṣṇa:Yes. Because we asked her to attend the cornerstone ceremony at Māyāpur.,Prabhupāda,"So, shall we take a chance?"
